"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"236-0221-017-0000","6129","Longmont","95608","4","2 (2 0)","1630","0.2140","1966","Updated/Remodeled","Yes","Kitchen 0-5YR","46","46","230000.00","230000.00","218000.00","06/14/12","03/07/13","","0"
"283-0470-016-0000","2224","Boyer","95608","3","2 (2 0)","1609","0.0400","1976","","No","","160","160","175100.00","170000.00","170000.00","06/21/12","01/09/13","","0"
"272-0110-064-0000","2930","Whitewood","95608","5","4 (3 1)","2908","0.1710","1992","","No","","45","45","299000.00","299000.00","300000.00","06/21/12","03/28/13","","0"
"289-0560-023-0000","1309","Kingsford","95608","3","3 (2 1)","3173","0.3390","1990","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","99","99","999999.00","899999.00","875000.00","06/18/12","01/10/13","","0"
"247-0280-041-0000","4036","Eastwood Village","95608","3","3 (2 1)","1480","0.0690","1993","","Unknown","","0","0","130000.00","135000.00","145000.00","06/05/12","03/01/13","","0"
"260-0321-028-000","6101","Grant","95608","3","2 (2 0)","1475","0.3500","1952","","Unknown","","84","84","180000.00","180000.00","181000.00","05/30/12","02/28/13","","0"
"256-0031-052-0000","4021","Hollow Wood","95608","3","3 (2 1)","1579","0.0740","1983","","Unknown","","115","115","127000.00","110000.00","110000.00","05/25/12","01/10/13","","0"
"247-0251-016","4259","Oak Knoll","95608","3","2 (2 0)","1638","0.3200","1958","","Unknown","","151","151","180000.00","233000.00","233000.00","05/04/12","02/20/13","","0"
"230-0161-002-0000","4549","Bela","95608","4","2 (2 0)","1650","0.2130","1960","","No","","103","103","210000.00","215000.00","225000.00","05/02/12","01/11/13","","0"
"247-0032-014-0000","4542","Fairlane","95608","4","3 (2 1)","2218","0.2500","1968","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","95","95","320000.00","320000.00","340000.00","05/02/12","01/31/13","","0"
"283-1062-020-0000","2228","Marywood","95608","3","2 (2 0)","2488","0.4900","1980","","Unknown","","214","456","639000.00","399000.00","400000.00","04/27/12","01/15/13","","0"
"283-0010-051-0000","5119","Whisper Oaks","95608","4","3 (3 0)","2686","0.1420","1999","","No","","279","279","329000.00","325000.00","325000.00","04/26/12","03/06/13","","0"
"232-0252-011-0000","6454","Templeton","95608","3","2 (2 0)","1134","0.2200","1958","Fixer","","","165","165","90000.00","90000.00","90000.00","02/16/12","06/10/13","","0"
"256-0031-079-0000","4028","Mason","95608","4","3 (2 1)","2125","0.2270","2012","","","","219","219","439000.00","379950.00","375000.00","01/18/12","01/25/13","","0"
"236-0122-018-0000","5234","Columbine","95608","5","3 (3 0)","2160","0.2030","1962","Updated/Remodeled","Yes","Other-Rmks 0-5YR","170","170","200000.00","238000.00","238000.00","11/08/11","03/29/13","","0"
"271-0322-005-0000","4749","Oakfield","95608","4","3 (2 1)","1883","0.2300","1960","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","208","208","299950.00","282000.00","285000.00","09/14/11","01/31/13","","0"
"260-0480-018-0000","6028","Roswitha","95608","3","2 (2 0)","2021","0.1570","2004","","","","243","397","245000.00","270000.00","270000.00","04/25/11","01/14/13","","0"
"289-0481-008-0000","4921","Keane","95608","4","3 (3 0)","2825","0.2900","1971","","","","98","98","852000.00","819000.00","815000.00","02/01/11","06/11/13","","0"
"282-0040-014-0000","2416","Upham","95608","3","1 (1 0)","1185","0.2310","1954","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","553","553","153000.00","125000.00","126000.00","01/14/11","03/13/13","","0"
"258-0052-002-0000","5600","Gibbons","95608","3","1 (1 0)","897","0.2300","1954","","No","","593","593","119900.00","102900.00","115000.00","12/15/10","02/28/13","","0"
"292-0354-003-0000","4850","Finlandia","95608","4","3 (3 0)","2727","0.2400","1970","","No","","98","98","665000.00","625000.00","615000.00","07/11/12","01/01/13","","0"
