"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"247-0271-045-0000","7112","Murdock","95608","3","2 (2 0)","1893","0.1539","1980","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","321","321","379000.00","345000.00","345000.00","01/05/16","04/05/17","Yes","2"
"273-0311-062-0000","3301","Parks","95608","3","2 (2 0)","1747","0.2031","1987","","No","","238","238","385000.00","372000.00","358000.00","04/21/16","01/03/17","Yes","4"
"230-0970-015-0000","4208","Tyrone Way","95608","5","4 (4 0)","3243","0.3220","2002","","No","","67","67","579000.00","549000.00","532500.00","09/01/16","01/09/17","","0"
"236-0321-074-0000","6204","Madison","95608","4","2 (2 0)","1718","0.2072","1969","","No","","201","201","299500.00","295000.00","250000.00","08/31/16","05/09/17","No","0"
"292-0351-006-0000","1141","Jacob","95608","4","3 (2 1)","2846","0.3000","1968","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","129","129","735000.00","689900.00","670000.00","08/26/16","02/24/17","Yes","2"
"230-0710-036-0000","4182","Scranton","95608","4","2 (2 0)","1795","0.1900","1978","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","94","94","370000.00","330000.00","320000.00","08/17/16","02/24/17","Yes","2"
"258-0160-002-0000","3334","Garfield","95608","3","1 (1 0)","1445","0.1900","1953","","Unknown","","204","264","274900.00","265000.00","260000.00","08/11/16","04/25/17","No","0"
"271-0033-053-0000","3139","Walnut","95608","3","2 (2 0)","1373","0.1800","1960","Updated/Remodeled","Yes","Kitchen 6-10YR,Other-Rmks 6-10YR","207","207","312500.00","250000.00","238000.00","08/05/16","04/14/17","Yes","3"
"260-0200-039-0000","3610","Charring","95608","4","3 (2 1)","2761","0.6000","1990","","No","","118","118","599000.00","585000.00","565000.00","07/22/16","01/24/17","No","0"
"283-0132-002-0000","2244","Homewood","95608","3","2 (2 0)","1322","0.2300","1958","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","157","157","389000.00","374000.00","369000.00","07/18/16","02/10/17","No","0"
"260-0332-014-0000","6041","Holeton","95608","5-7","3 (2 1)","3000","0.3900","","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 11-15YR","214","214","450000.00","450000.00","450000.00","07/01/16","03/09/17","Yes","3"
"273-0112-029-0000","3009","California","95608","2-3","2 (2 0)","1320","0.1950","1979","","Unknown","","240","240","335000.00","299900.00","283000.00","06/17/16","05/19/17","No","0"
"273-0340-020-0000","6440","Meadowhill","95608","4","3 (2 1)","3282","0.4840","1983","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","359","359","1100000.00","759000.00","759000.00","06/03/16","07/18/17","No","0"
"258-0170-034-0000","5801","North","95608","3","2 (2 0)","1740","0.1180","1950","","No","","167","167","299000.00","249000.00","240000.00","06/01/16","01/25/17","Yes","3"
"260-0460-013-0000","3521","Autumn Point","95608","5","6 (5 1)","5535","1.1900","1998","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","195","195","1695000.00","1495000.00","1450000.00","05/06/16","01/18/17","No","0"
"289-0600-001-0000","1369","Pars Oak","95608","4-5","5 (4 1)","3997","0.3599","2016","","No","","272","272","1580000.00","1499950.00","1260000.00","04/22/16","03/29/17","No","0"
"232-0274-005-0000","6243","Gena","95608","3","2 (1 1)","1111","0.1900","1961","","No","","38","38","229000.00","229000.00","229000.00","04/01/16","03/13/17","No","0"
"292-0301-001-0000","4835","Oak Vista","95608","4","3 (3 0)","4011","0.2800","1974","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR","183","183","1200000.00","1150000.00","1100000.00","04/27/16","01/03/17","No","0"
"273-0211-078-0000","2520","Old Country","95608","4","5 (4 1)","3563","0.7900","1984","Updated/Remodeled","Yes","Other-Rmks 0-5YR","849","849","1069000.00","929900.00","867600.00","04/14/15","11/02/17","No","0"
"289-0092-005-0000","4935","Fair Oaks","95608","3","2 (2 0)","1939","0.4800","1961","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","104","104","749000.00","710000.00","720000.00","10/01/16","03/17/17","Yes","2"
"256-0242-047-0000","3345","Mission","95608","3","2 (2 0)","1657","0.1440","1960","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","140","183","379000.00","376000.00","373000.00","09/23/16","04/04/17","No","0"
"273-0111-016-0000","3051","California","95608","3","1 (1 0)","1185","0.3900","1956","Fixer","Unknown","","109","109","299000.00","289000.00","260000.00","09/22/16","01/30/17","Yes","2"
"272-0280-042-0000","2533","Winsford Ln","95608","3-4","4 (3 1)","2702","0.1302","1987","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 0-5YR","78","172","425000.00","410000.00","400000.00","09/22/16","02/28/17","No","0"
"256-0070-035-0000","5029","Engle","95608","4","3 (3 0)","3274","0.2851","2016","","No","","61","66","639900.00","614900.00","624900.00","09/22/16","01/24/17","No","0"
"260-0332-017-0000","6046","Holeton","95608","4","3 (3 0)","3070","0.5200","1991","","Unknown","","129","129","649000.00","649000.00","649000.00","09/08/16","01/31/17","Yes","2"
"282-0102-002-0000","4805","Saint Lynn","95608","3","1 (1 0)","1053","0.2314","1955","Fixer","No","","10","10","239900.00","215000.00","215000.00","09/05/16","01/09/17","Yes","6"
"247-0293-004-0000","4614","Las Lindas","95608","4","3 (2 1)","2222","0.1808","1971","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 6-10YR","87","87","435000.00","420000.00","415000.00","10/13/16","02/03/17","No","0"
"258-0060-049-0000","5806","Gibbons","95608","3","2 (2 0)","1556","0.1660","1960","Updated/Remodeled","Yes","Bath 0-5YR","68","74","299900.00","299900.00","290000.00","09/29/16","01/05/17","No","0"
"289-0072-006-0000","1524","Mission","95608","5","3 (2 1)","3233","0.5000","1980","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","271","271","888000.00","860000.00","795000.00","10/01/16","09/15/17","No","0"
"273-0170-015-0000","6016","Palm","95608","3-4","3 (3 0)","1651","0.0379","1935","Updated/Remodeled","Yes","Other-Rmks 0-5YR","71","71","474850.00","464500.00","455000.00","09/29/16","02/01/17","No","0"
"230-0114-012-0000","4775","Hixon","95608","4","3 (2 1)","2327","0.2381","1961","Updated/Remodeled","Yes","Kitchen 0-5YR","142","142","439000.00","412999.00","404000.00","10/02/16","03/06/17","No","0"
"283-0490-007-0000","30","Riverbank","95608","2","3 (2 1)","2233","0.0500","1979","Updated/Remodeled","Yes","Kitchen 0-5YR","125","125","515000.00","499900.00","500000.00","10/03/16","03/24/17","Yes","2"
"236-0221-001-0000","6106","Madison","95608","2-3","4 (2 2)","1922","0.2200","1961","","Unknown","","55","55","329000.00","315000.00","306500.00","10/07/16","01/05/17","Yes","2"
"230-0262-002-0000","4346","College View","95608","3","3 (3 0)","2000","0.2306","1964","Updated/Remodeled","Yes","Bath 6-10YR","7","7","415000.00","415000.00","405000.00","10/04/16","01/06/17","Yes","4"
"258-0410-003-0000","3340","Winsome","95608","4-5","3 (3 0)","3203","0.1900","1996","Updated/Remodeled","Yes","Kitchen 0-5YR","119","251","569900.00","549998.00","549988.00","10/08/16","04/07/17","No","0"
"247-0122-014-0000","4230","Galewood","95608","3","2 (2 0)","1822","0.2439","1961","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 0-5YR","76","76","470000.00","460000.00","450000.00","10/07/16","01/23/17","No","0"
"260-0063-063-0000","3925","Dell","95608","4","4 (3 1)","2955","0.3160","2005","","No","","84","204","625000.00","609000.00","600000.00","10/11/16","04/27/17","No","0"
"230-0412-010-0000","5301","Mustang","95608","4","3 (2 1)","2183","0.2916","1974","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 11-15YR","51","51","485000.00","465000.00","470000.00","10/13/16","01/13/17","Yes","2"
"232-0332-014-0000","6625","Markley","95608","3","2 (2 0)","1296","0.1700","1958","","Unknown","","56","56","309900.00","279900.00","279900.00","10/18/16","01/10/17","No","0"
"273-0142-032-0000","2915","California","95608","4-5","3 (3 0)","4330","0.4859","1994","","No","","180","180","999909.00","949500.00","935000.00","10/26/16","05/24/17","No","0"
