"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"258-0390-024-0000","5220","Linda Lou","95608","3","2 (2 0)","1309","0.1469","1983","Updated/Remodeled","Yes","Kitchen 11-15YR,Other-Rmks 0-5YR","40","40","439999.00","434999.00","435000.00","11/24/20","02/08/21","Yes","4"
"256-0370-012-000","4810","Courtland","95608","2","2 (2 0)","1170","0.0827","1990","","Unknown","","8","8","305000.00","305000.00","312000.00","11/25/20","01/13/21","Yes","2"
"245-0022-014-0000","6031","RAMPART","95608","5-6","4 (3 1)","2417","0.2317","1966","Updated/Remodeled","Yes","Bath 0-5YR","38","38","525000.00","525000.00","525000.00","12/02/20","02/08/21","Yes","2"
"258-0350-011-0000","4068","Knoll Top Court","95608","2","2 (1 1)","1116","0.0285","1972","","No","","17","17","259900.00","259900.00","257500.00","12/04/20","01/25/21","No","0"
"232-0500-052","6208","Via Casitas","95608","2","3 (2 1)","1166","0.0208","1971","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","5","5","239000.00","239000.00","245000.00","12/04/20","01/26/21","Yes","5"
"258-0032-030-0000","5601","Gibbons","95608","3","1 (1 0)","1915","4.1900","1955","Fixer","No","","151","151","700000.00","662000.00","1135000.00","08/01/20","02/25/21","Yes","5"
"283-0200-062-0000","5244","Fair Oaks","95608","5-6","5 (4 1)","5500","0.4500","2002","","No","","170","170","1295000.00","1295000.00","1250000.00","08/08/20","04/08/21","Yes","3"
"247-0053-001-0000","7042","Los Olivos","95608","4","2 (2 0)","1921","0.1993","1970","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","30","30","525000.00","525000.00","516000.00","12/02/20","02/02/21","Yes","2"
"258-0320-024-0000","5251","Gibbons","95608","3","2 (1 1)","1323","0.0317","1972","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR","16","16","279000.00","279000.00","279000.00","12/07/20","01/28/21","No","0"
"260-0260-014-0000","3721","Claire","95608","4","3 (3 0)","2167","0.7400","1958","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","168","168","1345000.00","1175000.00","1203000.00","08/14/20","03/04/21","Yes","2"
"283-0010-005-0006","5132","El Camino","95608","2","3 (2 1)","1395","","2009","","Unknown","","3","3","325000.00","325000.00","325000.00","12/10/20","01/05/21","No","0"
"256-0330-035-000","4708","Good","95608","2","2 (2 0)","1077","0.0664","1973","","No","","4","4","279000.00","300000.00","300000.00","12/11/20","01/13/21","No","0"
"272-0220-050-0000","5420","Braninburg","95608","5","3 (2 1)","3470","0.5400","1946","","Unknown","","180","180","945000.00","945000.00","905000.00","09/11/20","04/01/21","No","0"
"282-0360-050-0000","4720","Olive Oak","95608","4","2 (2 0)","2040","0.1500","1976","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","97","97","625000.00","595000.00","595000.00","09/24/20","04/12/21","No","0"
"256-0031-074-0000","4029","Mason","95608","4","3 (3 0)","3107","0.1978","2011","","Unknown","","62","62","649900.00","649900.00","642500.00","09/25/20","01/18/21","No","0"
"072-0250-083","2617","Gunn","95608","4","3 (3 0)","2373","0.2400","2021","","No","","10","10","679000.00","679000.00","679000.00","10/01/20","01/20/21","No","0"
"260-0280-031-0000","3801","Dell","95608","4","3 (3 0)","2504","0.2900","1964","Updated/Remodeled","Yes","Other-Rmks 0-5YR","39","39","749950.00","699000.00","685000.00","10/28/20","01/07/21","No","0"
"258-0110-059-0000","3621","Timmco","95608","4-5","3 (2 1)","2586","0.3000","1987","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","5","5","650000.00","650000.00","770000.00","12/25/20","04/07/21","Yes","17"
"273-0211-018-0000","6132","Kenneth","95608","5-8","4 (4 0)","4311","0.6700","1940","Fixer","Unknown","","50","50","699900.00","675000.00","615600.00","10/21/20","03/04/21","Yes","3"
"260-0192-011-0000","3440","Marshall","95608","5","3 (3 0)","3190","0.5600","2007","","Unknown","","201","209","995000.00","1000000.00","1000000.00","10/23/20","05/26/21","No","0"
