"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"282-0380-016-0000","5063","Olive Oak","95608","5","3 (2 1)","2714","0.1800","1978","","","","0","206","449950.00","424000.00","400000.00","","05/22/02","","0"
"245-0091-013-0000","4329","Jan","95608","4","2 (2 0)","1900","0.2700","1961","","","","0","104","25000.00","225000.00","220000.00","","02/22/02","","0"
"247-0280-022-0000","4043","Eastwood Village","95608","3","2 (2 0)","1480","0.0800","1992","","","","0","56","194500.00","194500.00","194500.00","","02/08/02","","0"
"272-0330-009-0000","5731","Ivytown","95608","2","2 (2 0)","1000","0.0300","1986","","","","0","124","129950.00","129950.00","127800.00","","01/31/02","","0"
"247-0134-007-0000","6996","Wise Ct/Lot 1","95608","5","3 (3 0)","3045","0.2420","2001","","","","0","204","489000.00","489000.00","489000.00","","03/14/02","","0"
"247-0134-008-0000","6990","Wise","95608","4-5","3 (3 0)","3350","0.2240","2001","","","","0","158","559000.00","559000.00","559000.00","","01/31/02","","0"
"258-0420-006-0000","5127","Walnut Pointe","95608","3","2 (2 0)","1400","0.1400","1995","","","","0","3","279950.00","279950.00","277500.00","","11/21/02","","0"
"258-0360-057-0000","5400","Engle","95608","2-3","2 (2 0)","1644","0.1000","1981","","","","0","166","194950.00","186500.00","186500.00","","11/27/02","","0"
"230-0382-009-0000","4100","Green","95608","3","2 (2 0)","1336","0.2300","1960","","","","0","7","225000.00","225000.00","225000.00","","11/14/02","","0"
"229-0273-008-0000","5822","Sharps Cr","95608","3","2 (2 0)","1408","0.1400","1961","","","","0","4","225000.00","225000.00","227000.00","","07/18/02","","0"
"256-0370-039-0001","4727","Courtland","95608","3","2 (2 0)","1401","","1991","","","","0","84","200000.00","200000.00","205000.00","","07/22/02","","0"
"282-0252-008-0000","4933","San Marque Cr","95608","5","2 (2 0)","2033","0.2300","1955","","","","0","39","239000.00","239000.00","232000.00","","05/14/02","","0"
"236-0243-003-0000","6248","Saint James","95608","4","3 (3 0)","2123","0.2100","1962","","","","0","3","269950.00","269950.00","272000.00","","05/13/02","","0"
"289-0263-005-0000","1632","Carmelo","95608","3-4","3 (2 1)","2191","0.2400","1962","","","","0","29","465000.00","465000.00","445500.00","","04/18/02","","0"
"260-0360-010-0000","3742","California","95608","2","1 (1 0)","744","0.3200","1938","","","","0","25","144900.00","144900.00","155000.00","","03/07/02","","0"
"256-0380-001-0000","5045","Brandon Oaks","95608","4-5","3 (3 0)","1850","0.1400","1999","","","","0","95","263990.00","255000.00","255000.00","","05/14/02","","0"
"247-0124-009-0000","7000","Trabert","95608","4","3 (2 1)","1947","0.2100","1966","","","","0","62","179900.00","279900.00","279900.00","","03/18/02","","0"
"245-0260-010-0000","6744","Lincoln","95608","2","1 (1 0)","960","0.6000","1947","","","","0","9","199500.00","199500.00","182000.00","","01/11/02","","0"
"272-0312-004-0000","2547","El Vita","95608","4","2 (2 0)","1754","0.2500","1961","","","","0","88","275000.00","275000.00","272500.00","","04/15/02","","0"
"236-0011-011-0000","6331","Rutland","95608","3","2 (2 0)","1700","0.2100","1974","","","","0","109","249500.00","249500.00","245000.00","","04/24/02","","0"
