"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"272-0011-026-0000","3219","Petty","95608","4","2 (2 0)","1400","0.2700","1970","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","7","7","410000.00","410000.00","418000.00","05/23/19","06/28/19","No","0"
"256-0271-001-0000","3857","Ballard","95608","4","2 (2 0)","1524","0.2300","1961","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","19","19","439900.00","439900.00","439000.00","05/23/19","08/22/19","Yes","2"
"256-0080-020-0000","3533","Mission","95608","4","3 (2 1)","2373","0.6822","1957","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","56","56","559000.00","499000.00","479000.00","05/23/19","08/23/19","Yes","2"
"289-0293-004-0000","1361","Meredith","95608","4","2 (2 0)","1905","0.2100","1963","","No","","9","9","587500.00","587500.00","590000.00","05/24/19","07/12/19","No","0"
"272-0020-114-0000","5320","North","95608","3","2 (2 0)","1975","0.3460","1954","","No","","11","11","349900.00","349900.00","315000.00","05/24/19","06/24/19","No","0"
"247-0271-052-0024","7121","Stella","95608","2","2 (2 0)","1017","0.0233","2006","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","4","4","215000.00","215000.00","215000.00","06/26/19","07/30/19","No","0"
"245-0190-083-0000","6128","Fountaindale","95608","3","2 (2 0)","1832","0.1747","1992","Updated/Remodeled","Yes","Other-Rmks 0-5YR","14","91","420000.00","420000.00","418000.00","05/28/19","07/12/19","Yes","3"
"283-0090-067-0000","2222","Garfield","95608","5-7","5 (4 1)","5048","0.3750","1998","Updated/Remodeled","Yes","Other-Rmks 0-5YR","49","142","995000.00","995000.00","965000.00","05/25/19","09/04/19","No","0"
"283-0050-039-0000","5914","Wedgewood","95608","6","3 (3 0)","3592","0.3315","1952","","No","","10","10","770000.00","779000.00","695000.00","05/25/19","08/06/19","No","0"
"247-0220-001-000","4041","Sumner","95608","2-3","2 (2 0)","1220","1.1700","1963","","No","","19","19","379000.00","379000.00","400000.00","05/27/19","07/08/19","Yes","15"
"236-0223-005-0000","6206","Longmont","95608","3","2 (2 0)","1630","0.2266","1962","","No","","2","2","360000.00","360000.00","360000.00","05/27/19","07/02/19","No","0"
"271-0323-032-0000","3201","Murchison","95608","4","2 (2 0)","1950","0.2400","1960","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 0-5YR","17","17","485000.00","485000.00","478000.00","05/31/19","07/16/19","Yes","2"
"230-0203-016-0000","5456","Locust","95608","3","3 (2 1)","1825","0.3010","1976","","No","","27","27","435750.00","424900.00","410000.00","05/30/19","08/02/19","Yes","2"
"283-0181-009-0000","5252","Acorn","95608","4","3 (2 1)","2318","0.3400","1954","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","94","94","599000.00","599000.00","585000.00","05/30/19","10/25/19","No","0"
"260-0063-029-0000","7245","Willowbank","95608","4","2 (2 0)","2273","0.2500","1983","","No","","35","35","520000.00","520000.00","495000.00","06/06/19","08/02/19","No","0"
"282-0076-006-0000","4908","Boyd","95608","4","2 (2 0)","1406","0.2380","1955","","Unknown","","5","5","275000.00","275000.00","280000.00","05/31/19","07/05/19","Yes","2"
"247-0210-021-000","6922","Lincoln Creek","95608","4","4 (3 1)","3143","0.6854","1990","","No","","39","39","880000.00","725000.00","702500.00","05/31/19","08/07/19","No","0"
"245-0240-045-0000","4052","Alex","95608","3","2 (2 0)","1704","0.1325","1987","Updated/Remodeled","Yes","Bath 0-5YR,Other-Rmks 0-5YR","9","9","399500.00","399500.00","400000.00","06/06/19","07/03/19","No","0"
"292-0353-010-0000","4851","Finlandia","95608","4","3 (2 1)","2687","0.2500","1968","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","13","13","880000.00","880000.00","865000.00","06/07/19","07/22/19","No","0"
"272-0011-052-0000","5140","North Avenue","95608","3","1 (1 0)","1896","0.4300","1945","Fixer","No","","1","1","300000.00","300000.00","295000.00","06/03/19","06/26/19","Yes","3"
"273-0250-051-0000","6628","Chiquita","95608","6","5 (4 1)","4334","0.5002","2000","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","50","50","1425000.00","1425000.00","1325000.00","06/06/19","08/23/19","No","0"
"232-0213-002-0000","6120","Marwick","95608","3","2 (2 0)","1078","0.1200","1958","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","10","10","311000.00","299000.00","305000.00","06/04/19","07/19/19","Yes","4"
"283-0580-001-0000","5901","Oak","95608","3-4","2 (2 0)","1785","0.1322","2007","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR,Kitchen 0-5YR","7","7","474500.00","474500.00","470000.00","06/06/19","07/17/19","No","0"
"236-0123-007-0000","6024","Denver","95608","4","2 (2 0)","1444","0.1719","1959","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","66","66","384500.00","384500.00","384500.00","06/04/19","09/24/19","Yes","2"
"245-0233-002-0000","6504","Miles","95608","3","1 (1 0)","1025","0.2300","1955","Updated/Remodeled","Yes","Other-Rmks 0-5YR","36","36","299000.00","299000.00","289000.00","06/04/19","08/09/19","Yes","2"
"230-0710-020-0000","4133","Scranton","95608","2","2 (2 0)","1277","0.0984","1977","Updated/Remodeled","Yes","Other-Rmks 0-5YR","7","7","289000.00","289000.00","295000.00","06/05/19","07/15/19","Yes","6"
