"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"260-0250-007-0000","3716","Hollister","95608","4","3 (3 0)","1652","0.6500","1945","Updated/Remodeled","Yes","Bath 6-10YR","472","472","199000.00","199000.00","199000.00","05/03/11","11/15/12","","0"
"256-0102-001-0000","5000","Engle","95608","2","2 (2 0)","1640","0.7100","1950","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR","356","356","239000.00","179000.00","188000.00","06/29/11","07/24/12","","0"
"289-0463-012-0000","1220","Los Rios","95608","4","3 (3 0)","2785","0.3200","1971","Updated/Remodeled","Yes","","112","112","749000.00","575000.00","550000.00","06/27/11","02/10/12","","0"
"256-0114-006-0000","3608","Winston","95608","3","2 (1 1)","1053","0.2300","1956","","","","7","7","146900.00","124900.00","128150.00","06/17/11","01/20/12","","0"
"283-0140-070-0000","2171","Glancy","95608","5-6","5 (4 1)","4868","0.2120","2005","","","","170","170","875000.00","675000.00","629000.00","06/11/11","01/11/12","","0"
"245-0041-024-0000","6133","Ranger","95608","3","2 (2 0)","1611","0.2970","1958","Updated/Remodeled","Yes","","222","222","297500.00","259900.00","257000.00","06/11/11","03/27/12","","0"
"283-0280-028-0000","5740","Coda","95608","4","5 (3 2)","5000","0.9880","1963","","","","249","249","2295000.00","1785000.00","1600000.00","06/06/11","04/02/12","","0"
"258-0330-044","5129","GIBBONS","95608","3","3 (2 1)","1344","0.0310","1972","Updated/Remodeled","Yes","","162","162","97000.00","89000.00","83000.00","06/07/11","01/13/12","","0"
"289-0223-011-0000","1504","Del Dayo","95608","3","2 (2 0)","2104","0.2600","1956","","","","210","210","599000.00","399000.00","410000.00","06/08/11","02/21/12","","0"
"271-0263-014-0000","2550","La France","95608","4","2 (2 0)","2088","0.4000","1953","","Unknown","","356","356","199999.00","175000.00","171839.00","05/31/11","08/08/12","","0"
"273-0060-057-0000","3105","Panama","95608","3","2 (2 0)","1084","0.1290","1983","","","","331","331","139000.00","110000.00","107000.00","05/24/11","05/18/12","","0"
"230-0864-002-0000","4309","COLLEGE VIEW","95608","3","2 (2 0)","1886","0.2400","1960","","Unknown","","323","323","364950.00","299900.00","280000.00","05/13/11","05/04/12","","0"
"232-0291-018-0000","6133","Marwick","95608","3","2 (2 0)","1160","0.1400","1958","","","","335","335","115000.00","100000.00","100000.00","05/10/11","05/04/12","","0"
"283-0132-007-0000","5445","Halsted","95608","8","4 (4 0)","3617","0.2300","2006","","","","45","148","295000.00","249000.00","249199.00","04/29/11","06/22/12","","0"
"282-0072-015-0000","2333","Walnut","95608","3","2 (1 1)","1696","0.2310","1955","","","","361","361","161000.00","112000.00","112000.00","04/02/11","05/23/12","","0"
"283-0120-072-0000","5104","Adelina","95608","3","2 (2 0)","1746","0.1600","1985","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","454","454","299000.00","270900.00","235000.00","03/30/11","07/17/12","","0"
"256-0370-035-0005","4732","Courtland","95608","3","2 (2 0)","1401","","1989","","","","296","296","159900.00","100000.00","100000.00","02/09/11","01/26/12","","0"
"256-0031-006-0000","5014","Cypress","95608","3","2 (2 0)","2517","0.4700","1956","","","","254","254","274900.00","164900.00","166000.00","02/08/11","02/10/12","","0"
"232-0293-002","6206","Brandon","95608","3","2 (2 0)","1078","0.1400","1958","","","","521","1088","150000.00","114900.00","103000.00","09/04/10","02/21/12","","0"
"289-0210-030-0000","1224","Genesee","95608","5","5 (4 1)","4735","0.3120","2006","Updated/Remodeled","Yes","","641","641","1190000.00","750000.00","750000.00","02/12/10","03/22/12","","0"
"272-0070-082-0000","3121","Whitewood","95608","3","1 (1 0)","897","0.2570","1954","","","","29","29","125000.00","109900.00","115000.00","07/21/11","01/25/12","","0"
"258-0330-043-0000","5131","Gibbons","95608","3","2 (2 0)","1323","0.0310","1972","","","","279","279","89000.00","79000.00","82000.00","07/20/11","07/13/12","","0"
"271-0062-014-0000","3120","Murchison","95608","2-3","2 (2 0)","1451","0.2500","1954","Updated/Remodeled","Yes","","4","4","169000.00","169000.00","171000.00","07/16/11","01/31/12","","0"
"273-0360-011-0000","6424","Orange Hill","95608","5","4 (3 1)","4120","0.0900","2008","","","","138","138","840000.00","790000.00","750000.00","07/15/11","01/20/12","","0"
