"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"272-0061-010-0000","3109","Birch","95608","3","2 (2 0)","1243","0.2500","1959","Updated/Remodeled","Yes","","302","302","175000.00","157000.00","162000.00","02/24/10","01/19/11","","0"
"272-0011-058-0000","5101","Walnut Garden","95608","3","2 (2 0)","1827","0.1700","1990","","","","455","646","299000.00","190000.00","190000.00","03/05/10","08/01/11","","0"
"247-0192-004-0000","4316","Mapel","95608","3","2 (2 0)","2083","0.3900","1959","","","","508","508","525000.00","350000.00","290000.00","09/25/07","07/13/11","","0"
"232-0225-005-0000","5429","Earnell","95608","3-4","2 (2 0)","1638","0.1700","1958","Updated/Remodeled","Yes","","174","174","219500.00","179950.00","179950.00","06/24/10","02/08/11","","0"
"272-0070-052-0000","3120","Hadley","95608","3","2 (2 0)","1250","0.2580","1977","","","","11","11","189000.00","165000.00","155000.00","01/14/10","01/13/11","","0"
"272-0290-060-0000","2504","Gabriel","95608","3","2 (2 0)","1373","0.1800","1986","","","","355","355","279000.00","165000.00","165000.00","01/08/10","04/12/11","","0"
"258-0400-034-0000","3425","Shawhan","95608","3","2 (2 0)","1360","0.1360","2000","Updated/Remodeled","Yes","","446","446","209900.00","187500.00","160000.00","01/06/10","05/04/11","","0"
"258-0021-014-0000","5540","Cypress","95608","4-5","3 (3 0)","2040","0.3580","1111","","","","681","681","285000.00","200000.00","150000.00","11/17/09","11/15/11","","0"
"229-0251-005","6047","REMINGTON","95608","3","2 (2 0)","1408","0.1500","1963","","","","829","829","210000.00","105000.00","105000.00","07/18/08","03/30/11","","0"
"236-0181-006-0000","4725","Jan","95608","3","3 (2 1)","1531","0.2190","1961","","","","270","270","269000.00","229000.00","212000.00","07/09/10","04/14/11","","0"
