"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"230-0161-003-0000","4537","Bela","95608","3","2 (2 0)","1438","0.2479","1960","Fixer","No","","138","138","160000.00","250000.00","250000.00","08/14/13","08/05/14","","0"
"256-0113-006-0000","3605","Comstock","95608","3","2 (1 1)","1547","0.2300","1956","","No","","154","154","275000.00","225000.00","209500.00","08/08/13","01/30/14","","0"
"230-0141-006-0000","4607","Hixon","95608","3","2 (2 0)","1847","0.2319","1959","Updated/Remodeled","Yes","Other-Rmks 6-10YR","112","112","390000.00","329000.00","320000.00","08/15/13","01/03/14","","0"
"283-0440-018-0000","76","Riverknoll","95608","3","4 (3 1)","2342","0.0400","1977","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR,Other-Rmks 6-10YR","161","234","425000.00","399000.00","399000.00","08/04/13","03/07/14","","0"
"283-0132-002-0000","2244","Homewood","95608","3","2 (2 0)","1322","0.2300","1958","","Unknown","","166","166","325000.00","244900.00","246000.00","07/26/13","01/17/14","","0"
"230-0114-001-0000","4765","Hixon","95608","3","2 (2 0)","1657","0.3198","1959","","Unknown","","116","116","386000.00","291800.00","292000.00","07/16/13","01/16/14","","0"
"258-0123-014-0000","3517","Sue Pam","95608","3","2 (2 0)","1507","0.2996","1952","","Unknown","","120","120","265000.00","215000.00","220000.00","07/13/13","01/31/14","","0"
"283-0430-007-0000","2325","Shorewood","95608","3","3 (3 0)","2860","0.8500","1972","","No","","160","160","695000.00","668000.00","572000.00","07/09/13","02/13/14","","0"
"245-0200-017-0000","6245","Tami","95608","4","2 (2 0)","1450","0.2300","1952","","No","","12","12","240000.00","229000.00","229000.00","07/08/13","03/14/14","","0"
"283-0430-017-0000","6000","Ard Aven","95608","5","4 (3 1)","3333","0.5500","1981","Updated/Remodeled","Yes","Bath 6-10YR,Bed 0-5YR,Kitchen 6-10YR","250","250","849000.00","779000.00","725000.00","07/15/13","05/07/14","","0"
"255-0330-025-0000","3904","Oak Villa Cir","95608","3","3 (3 0)","1344","0.0309","1978","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","29","29","130000.00","125000.00","120000.00","06/27/13","01/27/14","","0"
