"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"236-0111-019-0000","6031","Cherrelyn","95608","3","2 (2 0)","1392","0.2530","1960","","","","523","523","369900.00","179900.00","179900.00","10/03/07","07/20/09","","0"
"260-0470-017-0000","6001","Amir","95608","3","3 (2 1)","1548","0.1050","1996","Updated/Remodeled","Yes","","273","273","375000.00","199900.00","210000.00","06/12/08","04/21/09","","0"
"283-0440-019-0000","72","River Knoll","95608","3","3 (3 0)","2350","0.0500","1976","","","","217","453","549500.00","449000.00","430000.00","06/04/08","01/28/09","","0"
"247-0134-011-0000","6972","Wise","95608","5-6","5 (4 1)","4500","0.4000","","","","","291","412","1199000.00","850000.00","775000.00","06/03/08","04/27/09","","0"
"272-0182-002-0000","2865","La Colina","95608","3","2 (2 0)","1755","0.2300","1957","Updated/Remodeled","Yes","","330","511","330000.00","249900.00","230000.00","05/27/08","05/26/09","","0"
"282-0370-045-0000","4936","Olive Oak","95608","4","3 (2 1)","2070","0.1700","1978","","","","189","189","389000.00","279000.00","280000.00","05/14/08","01/28/09","","0"
"282-0064-005-0000","4816","Boyd","95608","3","2 (2 0)","1326","0.2380","1965","Fixer","","","94","311","219900.00","179900.00","170000.00","05/06/08","01/02/09","","0"
"273-0360-010-0000","6420","Orange Hill","95608","4-5","4 (3 1)","3143","0.0900","2006","","","","227","227","889000.00","729500.00","640000.00","04/21/08","01/09/09","","0"
"260-0350-002-0000","3840","Delaware","95608","3","2 (2 0)","2619","0.6800","1990","Fixer","","","438","438","600000.00","425000.00","405000.00","04/11/08","07/10/09","","0"
"230-0403-001","4219","Sharwood","95608","4","2 (2 0)","1778","0.2620","1960","Updated/Remodeled","Yes","","224","224","395000.00","349900.00","340000.00","04/04/08","03/19/09","","0"
"271-0170-015-0000","2805","Root","95608","3","2 (2 0)","1656","0.6860","1947","","","","398","400","599000.00","199000.00","202000.00","03/28/08","05/22/09","","0"
"245-0253-016-0000","8441","Fair Oaks","95608","3","2 (2 0)","2034","0.7810","1945","Updated/Remodeled","Yes","","601","601","495000.00","365000.00","325000.00","03/19/08","11/16/09","","0"
"260-0321-075-0000","3749","California","95608","3","1 (1 0)","1144","0.4780","1938","Updated/Remodeled","Yes","","53","53","187000.00","139900.00","137500.00","09/04/08","05/20/09","","0"
