"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"272-0242-006-0000","5748","Kenneth","95608","3","2 (2 0)","1056","0.2242","1955","Updated/Remodeled,Original","Yes","Kitchen 0-5YR,Bath 6-10YR","108","108","510000.00","470000.00","462000.00","09/14/21","02/18/22","Yes","2"
"272-0140-013-0000","2905","Garfield","95608","4","2 (2 0)","2156","0.2960","1935","","Unknown","","148","148","559000.00","449000.00","466480.00","06/30/21","01/19/22","Yes","6"
"282-0074-007-0000","2309","Walnut","95608","4","2 (2 0)","1406","0.2413","1955","","Yes","Other-Rmks 0-5YR","127","127","549900.00","499000.00","470000.00","07/27/21","01/06/22","No","1"
"273-0030-003-0000","6456","Landis","95608","5","7 (5 2)","6417","4.6900","2005","Original","No","","180","180","2999000.00","3275000.00","3000000.00","08/05/21","03/07/22","No","1"
"236-0304-004-0000","6442","Sandstone","95608","3","2 (2 0)","1709","0.1956","1968","Original","Yes","Bath 6-10YR","15","15","499900.00","520000.00","520000.00","09/14/21","05/16/22","No","1"
"236-0142-024-0000","5328","Sandstone","95608","3","2 (2 0)","1120","0.1878","1960","","Unknown","","87","87","430000.00","421000.00","405000.00","08/17/21","01/31/22","","0"
"273-0360-014-0000","6436","Orange Hill Lane","95608","4","4 (3 1)","3353","0.1000","2006","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Bed 0-5YR,Other-Rmks 0-5YR","4","4","965000.00","1150000.00","1110000.00","08/20/21","01/14/22","","0"
"283-0540-006-0000","1930","Cenacle","95608","4-5","6 (4 2)","5942","0.6400","1989","","Yes","Kitchen 6-10YR,Bath 11-15YR,Bed 6-10YR,Other-Rmks 6-10YR","168","168","2449000.00","2349000.00","2295000.00","08/27/21","03/18/22","Yes","2"
"230-0323-027-0000","4376","Virgusell","95608","3","2 (2 0)","2211","0.2800","1976","","Unknown","","112","112","690000.00","667000.00","650000.00","08/27/21","01/31/22","","0"
"229-0274-012-0000","5833","Sharps","95608","3","2 (1 1)","1273","0.1300","1961","","Yes","Bath 0-5YR,Kitchen 0-5YR,Bed 0-5YR","53","53","424999.00","407475.00","408000.00","09/06/21","01/07/22","No","1"
"283-0120-055-0000","5115","Adelina","95608","4","2 (2 0)","2289","0.1600","1989","","Unknown","","30","30","645000.00","645000.00","615000.00","09/11/21","01/11/22","","0"
"283-0470-016-0000","2224","Boyer","95608","3","2 (2 0)","1609","0.0400","1976","","Yes","Bath 6-10YR,Kitchen 6-10YR","6","6","425000.00","425000.00","435000.00","10/11/21","01/18/22","","0"
"236-0123-004-0000","6012","Denver","95608","3","3 (2 1)","1448","0.2062","1960","","Unknown","","50","50","515000.00","500000.00","470000.00","10/14/21","01/04/22","No","1"
"230-0112-001-0000","4731","Cameron Ranch Dr.","95608","3","2 (2 0)","1847","0.2640","1959","Original","No","","12","12","569000.00","539000.00","541000.00","10/08/21","05/06/22","Yes","2"
"236-0321-074-0000","6204","Madison","95608","4","3 (3 0)","2174","0.2072","1969","","Unknown","","107","107","632000.00","610000.00","577000.00","10/08/21","02/23/22","No","1"
"271-0313-038-0000","3200","Smathers","95608","3","2 (2 0)","1383","0.2000","1973","","Yes","Bath 0-5YR,Kitchen 6-10YR","46","46","525000.00","500000.00","500000.00","10/15/21","01/01/22","Yes","2"
"245-0253-017-0000","8445","Fair Oaks","95608","4","3 (2 1)","3165","0.4690","2003","","","","60","60","1199000.00","999999.00","1000000.00","10/15/21","01/19/22","","0"
"258-0051-009-0000","5513","Colonel","95608","3","2 (2 0)","1056","0.2300","1955","Updated/Remodeled","Yes","Kitchen 0-5YR,Bath 6-10YR","57","57","494000.00","476000.00","476000.00","10/19/21","01/14/22","Yes","2"
"272-0220-028-0000","2721","Garfield","95608","3","2 (2 0)","1756","0.2686","1981","","Unknown","","115","115","625000.00","625000.00","590000.00","10/19/21","03/22/22","No","1"
"273-0030-036-0000","3231","Marshall","95608","5-6","4 (3 1)","3804","1.8400","1964","","Unknown","","35","35","1250000.00","1250000.00","1250000.00","10/20/21","02/02/22","Yes","3"
"256-0111-009-0000","4908","Engle","95608","3","2 (2 0)","1557","0.2300","1957","","Unknown","","110","110","480000.00","469900.00","460000.00","10/21/21","02/14/22","No","1"
"271-0035-009-0000","4951","Kurz","95608","3","2 (2 0)","1452","0.1600","1986","","Unknown","","112","112","560000.00","542000.00","530000.00","10/21/21","03/10/22","No","1"
"258-0330-041-0000","5201","Gibbons","95608","2","2 (1 1)","1116","0.0322","1972","","No","","12","12","299000.00","299000.00","312000.00","10/21/21","01/14/22","No","1"
"236-0222-003-0000","5340","Greeley","95608","3","2 (2 0)","1659","0.2220","1965","","Unknown","","53","53","509900.00","489900.00","505000.00","10/29/21","03/11/22","Yes","3"
"272-0130-035-0000","5249","Marconi","95608","3","1 (1 0)","1350","0.5908","1951","Fixer,Original","No","","28","28","420000.00","420000.00","427000.00","11/12/21","03/15/22","Yes","2"
