"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"258-0123-025-0000","5631","Whitney","95608","0","0 (0 0)","1000","2.0000","","","","","0","25","795000.00","795000.00","595000.00","","01/12/04","","0"
"245-0061-007-0000","4517","Marble","95608","3","2 (2 0)","1420","0.2320","1960","","","","0","106","325000.00","298500.00","285000.00","","02/13/04","","0"
"271-0291-007","2509","GREENFIELD","95608","3","2 (2 0)","1813","0.2300","1954","","","","86","86","279900.00","264900.00","264900.00","09/25/03","03/26/04","","0"
"282-0272-008-0000","1705","Mission","95608","3","3 (3 0)","2116","0.2320","1965","","","","230","314","410000.00","418950.00","405000.00","09/25/03","05/28/04","","0"
"230-0383-009-0000","4117","Pueblo","95608","3","2 (2 0)","1600","0.1960","1969","","","","0","28","315000.00","315000.00","315000.00","","01/14/04","","0"
"273-0150-006-0000","2920","California","95608","3","2 (2 0)","1550","0.2500","1980","","","","0","108","390000.00","380000.00","380000.00","","01/29/04","","0"
"289-0590-003-0000","1635","Arden Bluff","95608","2","2 (2 0)","2632","0.1700","1994","","","","147","147","675000.00","647000.00","610000.00","09/09/03","03/23/04","","0"
"272-0020-109-0000","3207","Garfield","95608","4","3 (2 1)","2600","0.1194","2003","","","","0","86","485000.00","475000.00","465000.00","","01/08/04","","0"
"258-0130-023-0000","3445","GARFIELD","95608","3","2 (2 0)","1806","0.3700","1953","","","","0","100","359000.00","339000.00","330000.00","","01/06/04","","0"
"283-0411-004-0000","5310","Roxbury","95608","4","4 (3 1)","5166","1.4500","1941","","","","0","78","2900000.00","2900000.00","2450000.00","","01/14/04","","0"
"247-0210-039-0000","6977","Lincoln Creek","95608","3","3 (2 1)","2117","0.2000","1978","","","","0","29","419500.00","399500.00","390000.00","","02/24/04","","0"
"283-0102-001-0000","2256","Van Ufford","95608","4","1 (1 0)","1420","0.4000","1951","","","","66","66","349900.00","349900.00","349900.00","10/24/03","06/25/04","","0"
"283-0120-072-0000","5104","Adelina","95608","3","2 (2 0)","1746","0.1600","1985","","","","108","108","379000.00","379000.00","355000.00","10/22/03","04/05/04","","0"
"260-0212-023-0000","3629","Hollister","95608","4","4 (3 1)","3733","0.3400","1991","","","","0","43","775000.00","725000.00","700000.00","","01/02/04","","0"
"232-0520-023","5915","Casa Alegre","95608","3","3 (2 1)","1380","0.0230","1973","","","","0","59","182000.00","182000.00","185000.00","","01/21/04","","0"
"260-0370-049-0000","3428","Grant Park","95608","4","3 (2 1)","2242","0.2730","1981","","","","201","201","385000.00","367500.00","355000.00","05/07/03","03/30/04","","0"
"272-0063-017-0000","5255","Mission View","95608","3","3 (2 1)","2386","0.2700","","","","","0","8","419000.00","419000.00","419000.00","","01/16/04","","0"
"245-0170-040-0000","6036","Lincoln","95608","4","3 (3 0)","2050","0.3520","1950","Fixer","","","0","24","284500.00","244500.00","246000.00","","01/09/04","","0"
"245-0112-061-0000","6327","Perrin","95608","4","3 (3 0)","2734","0.2000","1993","","","","0","55","557000.00","517000.00","517000.00","","02/09/04","","0"
"283-0200-066-0000","5240","Fair Oaks","95608","3","3 (3 0)","2130","0.7700","1960","","","","85","85","659000.00","639000.00","620000.00","11/16/03","03/26/04","","0"
"229-0271-011-0000","5937","Marlin","95608","4","2 (2 0)","1344","0.1500","1961","","","","0","11","249990.00","249990.00","250000.00","","01/09/04","","0"
"245-0140-029-0000","4213","Marl","95608","4","3 (3 0)","2440","0.2100","1986","","","","0","35","460000.00","470000.00","445000.00","","01/30/04","","0"
"256-0370-020-0000","4771","Courtland","95608","2","2 (2 0)","1170","0.0850","1990","","","","0","21","235000.00","235000.00","232000.00","","01/07/04","","0"
"232-0520-031-0000","5929","Casa Alegre","95608","2","2 (1 1)","972","0.0161","1973","","","","0","121","159000.00","153000.00","153000.00","","02/24/04","","0"
"258-0350-027-0000","4044","Knoll Top","95608","2","2 (1 1)","1344","0.0300","1972","","","","0","4","180000.00","180000.00","172600.00","","01/06/04","","0"
"232-0374-006-0000","6430","Belgrove","95608","3","2 (1 1)","1162","0.1500","1962","","","","0","33","244900.00","244900.00","242000.00","","02/19/04","","0"
"260-0350-043-0000","3840","Dotty","95608","4","3 (3 0)","2780","0.3400","1989","","","","0","77","559000.00","559000.00","535000.00","","02/02/04","","0"
"273-0284-026-0000","3220","Marshall","95608","3","2 (2 0)","2391","0.3890","1973","","","","0","142","519000.00","499950.00","490000.00","","01/02/04","","0"
"260-0091-020-0000","6039","Shirley","95608","4","1 (1 0)","1354","0.6000","1950","Fixer","","","0","12","299900.00","299900.00","320000.00","","01/09/04","","0"
"283-0010-066-0000","5245","WYNDHAM OAK","95608","4","3 (3 0)","2686","0.1500","1998","","","","65","65","499500.00","499500.00","495000.00","11/11/03","03/25/04","","0"
"273-0021-036-0000","6238","Landis","95608","3","3 (2 1)","1899","0.1790","1987","","","","0","13","310000.00","310000.00","308000.00","","02/11/04","","0"
"273-0323-045-0000","6321","Date Palm","95608","3","3 (3 0)","2393","0.2600","1978","","","","0","73","514495.00","483500.00","475000.00","","01/12/04","","0"
"236-0263-009-0000","6200","Shadow Creek","95608","4","2 (2 0)","2060","0.2470","1968","","","","0","39","355000.00","349950.00","340000.00","","02/03/04","","0"
"272-0290-003-0000","5135","Peggy","95608","3","2 (1 1)","1613","0.6600","1950","","","","0","5","324950.00","324950.00","330000.00","","01/28/04","","0"
"258-0330-008-0000","3954","Oak Villa","95608","3","2 (1 1)","1341","0.0310","1972","","","","0","64","215000.00","209950.00","205000.00","","02/09/04","","0"
"289-0412-001-0000","4701","Anne","95608","4","3 (3 0)","2490","0.2700","1962","","","","0","7","435000.00","435000.00","435000.00","","01/09/04","","0"
"232-0291-013-0000","6207","Brandon","95608","3","2 (2 0)","1160","0.1390","1958","","","","0","8","260000.00","258000.00","253000.00","","01/08/04","","0"
"236-0121-002-0000","5245","SCHUYLER","95608","3","2 (2 0)","1408","0.1890","1960","","","","58","58","232000.00","225000.00","210000.00","12/02/03","04/16/04","","0"
"236-0301-007-0000","5257","Heritage","95608","3","2 (2 0)","1497","0.1660","1968","","","","0","67","329500.00","329500.00","325000.00","","01/02/04","","0"
"260-0142-013-0000","3724","Orangerie","95608","3","2 (2 0)","1502","0.2290","1959","","","","0","41","314500.00","314500.00","313250.00","","01/21/04","","0"
"245-0310-004-0000","4147","Shera","95608","2","2 (2 0)","1148","0.0650","1985","","","","0","125","209750.00","209750.00","209750.00","","02/18/04","","0"
"272-0190-021-0000","5625","Clark","95608","4","2 (2 0)","1759","0.3110","1974","","","","0","81","279950.00","279950.00","268000.00","","01/16/04","","0"
"258-0410-005-0000","3337","Winsome","95608","4","4 (4 0)","3106","0.1800","1999","","","","72","84","595000.00","599950.00","590000.00","12/12/03","03/26/04","","0"
"232-0361-014-0000","5741","Hesper","95608","3","1 (1 0)","1070","0.1800","1961","","","","0","31","234900.00","239900.00","237500.00","","01/28/04","","0"
"260-0152-018-0000","7348","Nob Hill","95608","3-4","3 (2 1)","2200","0.2700","1958","","","","76","76","599900.00","579500.00","568000.00","12/16/03","04/01/04","","0"
"271-0035-012-0000","4939","Kurz","95608","3","2 (2 0)","1537","0.1500","1986","","","","0","8","325000.00","325000.00","325000.00","","01/27/04","","0"
"283-0422-002-0000","5725","River Oak","95608","4","2 (2 0)","1842","0.1800","1967","","","","0","88","429900.00","429900.00","430000.00","","02/23/04","","0"
"245-0140-059-0000","6337","Lincoln","95608","3","2 (2 0)","1776","0.2400","1992","","","","0","32","391000.00","385000.00","379000.00","","03/05/04","","0"
"258-1310-027-0000","3910","Apple Blossom","95608","4","3 (3 0)","2200","0.2000","2003","","","","0","36","399500.00","399500.00","392000.00","","01/28/04","","0"
"256-0330-025-0000","4725","Good","95608","3","2 (1 1)","1289","0.0900","1973","","","","0","7","205000.00","205000.00","205000.00","","01/14/04","","0"
"247-0231-031-0000","4201","Hussey","95608","4","2 (2 0)","1586","0.5100","1953","","","","0","162","305000.00","305000.00","306000.00","","01/15/04","","0"
