"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"282-0251-040-0000","1901","walnut","95608","5","3 (3 0)","1525","0.2314","1955","","No","","320","320","190000.00","285000.00","260000.00","06/25/15","05/27/16","","0"
"271-0141-013-0000","4920","Steamers","95608","5","3 (3 0)","2852","0.3490","2011","","No","","231","231","549000.00","525000.00","505000.00","06/23/15","04/05/16","","0"
"260-0430-020-0000","3821","Hollister","95608","4","3 (2 1)","2277","0.2180","1990","","No","","217","217","429000.00","398400.00","388000.00","06/08/15","02/26/16","","0"
"272-0290-053-0000","2536","Lillian","95608","3","2 (2 0)","1384","0.2270","1981","Updated/Remodeled","Yes","Other-Rmks 0-5YR","92","92","317900.00","270000.00","270000.00","06/05/15","05/06/16","","0"
"272-0171-035-0000","5200","Marconi","95608","2-3","1 (1 0)","1111","0.3198","1942","Updated/Remodeled","Yes","Bath 0-5YR","146","146","239900.00","215000.00","209000.00","05/29/15","01/12/16","","0"
"247-0271-052-0012","7110","Stella","95608","2","2 (2 0)","1017","","1984","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","178","178","114500.00","114495.00","113500.00","05/22/15","01/08/16","","0"
"260-0200-032-0000","3626","Marshall","95608","4","2 (2 0)","1344","0.2755","1958","","No","","237","237","279000.00","279000.00","274000.00","05/12/15","05/06/16","","0"
"260-0050-046-0000","3943","Nicklaus","95608","4","2 (2 0)","1961","0.2500","1987","Fixer","No","","144","144","225000.00","285000.00","271786.00","05/11/15","03/29/16","","0"
"272-0090-112-0000","3032","Valasstrada Court","95608","4","3 (3 0)","2366","0.1514","1990","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","53","53","439900.00","419000.00","415000.00","05/07/15","03/09/16","","0"
"283-0490-004-0000","22","Riverbank","95608","2","3 (2 1)","2861","0.0600","1985","","Unknown","","248","248","745000.00","625000.00","620000.00","05/01/15","01/27/16","","0"
"258-0310-004-000","5721","Gibbons","95608","2","1 (1 0)","1060","0.9294","1947","","Unknown","","113","113","323880.00","274000.00","245000.00","08/24/15","02/16/16","","0"
"230-0321-031-0000","4349","Garfield","95608","3-4","5 (3 2)","4849","0.3400","2001","","No","","256","257","889000.00","835000.00","825000.00","04/21/15","04/07/16","","0"
"272-0290-021-0000","2551","Lillian","95608","3","2 (2 0)","1200","0.3300","1957","Fixer","No","","39","39","230000.00","205000.00","205000.00","04/10/15","03/24/16","","0"
"232-0083-012-0000","6012","Ellerslee","95608","4","2 (2 0)","1248","0.2800","1958","","Unknown","","19","19","165000.00","165000.00","180000.00","04/03/15","06/15/16","","0"
"273-0323-028-0000","6348","Palm","95608","7","7 (6 1)","6245","0.5400","1988","","No","","187","187","1450000.00","1295000.00","1195000.00","03/30/15","01/27/16","","0"
"260-0120-031-0000","6508","Sutter","95608","2","1 (1 0)","1104","0.4132","1938","","Unknown","","244","244","335000.00","275000.00","262500.00","02/26/15","02/08/16","","0"
