"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"236-0221-004-0000","6124","Madison","95608","3-4","3 (3 0)","1896","0.2000","1963","","","","59","59","329000.00","319000.00","310000.00","09/21/04","01/12/05","","0"
"236-0143-016-0000","5262","Flagstone","95608","3","2 (1 1)","1338","0.1970","1960","","","","134","134","345000.00","339500.00","339500.00","09/21/04","03/02/05","","0"
"245-0140-040-0000","4109","Mindt","95608","3","2 (2 0)","2149","0.2000","1988","","","","109","109","545000.00","470000.00","460000.00","09/17/04","03/30/05","","0"
"247-0031-006-0000","6739","Rappahannock","95608","5","3 (2 1)","2915","0.4500","1967","","","","91","91","635000.00","619000.00","616000.00","09/16/04","01/31/05","","0"
"236-0082-001-0000","6061","Northcrest","95608","3","2 (2 0)","1386","0.2310","1959","","","","51","51","340000.00","325000.00","326000.00","09/10/04","01/10/05","","0"
"230-0261-005","5119","Brookview","95608","4","4 (3 1)","2257","0.2570","1962","","","","122","122","479900.00","464900.00","460000.00","09/10/04","01/10/05","","0"
"272-0011-061","5113","Walnut Garden","95608","4","3 (2 1)","2295","0.1700","1990","","","","100","170","510000.00","494000.00","480000.00","09/07/04","01/25/05","","0"
"272-0011-046-0000","5112","North","95608","3-4","3 (3 0)","2192","0.2100","1958","","","","108","108","439000.00","399900.00","381000.00","08/16/04","01/05/05","","0"
"272-0260-031-0000","2604","Gunn","95608","3","2 (2 0)","2000","0.3200","1953","","","","106","106","395000.00","395000.00","315000.00","08/12/04","04/18/05","","0"
"289-0291-026-0000","1350","Meredith","95608","3","2 (2 0)","1840","0.1800","1963","","","","54","54","462500.00","479000.00","475000.00","10/27/04","01/31/05","","0"
"273-0311-074-0000","3305","California","95608","4","3 (3 0)","2156","0.2430","1997","","","","123","123","550000.00","484900.00","470000.00","07/31/04","01/14/05","","0"
"272-0190-043-0000","5503","Clark","95608","4","2 (2 0)","1466","0.1300","","","","","168","168","355000.00","323000.00","305000.00","07/21/04","09/02/05","","0"
"247-0164-002-0000","4400","Rustic","95608","3","2 (2 0)","1620","0.5050","1957","","","","101","101","595000.00","499900.00","500000.00","07/28/04","01/04/05","","0"
"273-0091-071-0000","6420","Wheaton","95608","5","4 (3 1)","3583","0.4700","1984","","","","178","178","899000.00","835000.00","809950.00","07/21/04","03/31/05","","0"
"283-0113-006-0000","6220","Rio Bonito","95608","3","3 (3 0)","3569","0.6800","1950","","","","174","174","1195000.00","1195000.00","1195000.00","06/01/04","01/26/05","","0"
"273-0030-005-0000","6512","Landis","95608","4","4 (3 1)","2116","2.4200","1958","","","","152","152","1350000.00","1350000.00","1250000.00","05/13/04","03/25/05","","0"
"260-0420-033-0000","6809","SUTTER","95608","4","2 (2 0)","2627","3.2000","1950","","","","297","297","1450000.00","1250000.00","1050000.00","03/22/04","03/23/05","","0"
"289-0241-008-0000","1501","Elsdon","95608","4","4 (3 1)","2534","0.3100","1958","","","","17","137","679900.00","700000.00","690000.00","10/06/04","05/18/05","","0"
"247-0273-029-0003","4026","Grover","95608","2","1 (1 0)","806","0.0700","1979","","","","80","145","188000.00","184500.00","184500.00","10/06/04","03/15/05","","0"
"258-0360-057-0000","5400","Engle","95608","2-3","2 (2 0)","1644","0.1000","1981","","","","99","99","327000.00","299500.00","299500.00","10/01/04","02/23/05","","0"
"272-0110-059-0000","5516","Coronawood","95608","5","3 (3 0)","2884","0.1628","1993","","","","66","66","619000.00","599000.00","599000.00","09/25/04","01/14/05","","0"
"245-0222-018-0000","6453","Miles","95608","3","2 (2 0)","1008","0.2500","1958","","","","101","101","255000.00","273500.00","280500.00","09/24/04","03/21/05","","0"
