"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"232-0520-012-0000","6036","Casa Alegre","95608","2-3","3 (2 1)","1404","0.0284","1973","Updated/Remodeled","Yes","Other-Rmks 0-5YR","41","41","210000.00","199000.00","195000.00","10/12/17","01/11/18","No","0"
"232-0500-021-0000","6148","Via Casitas","95608","2","3 (2 1)","1166","0.0211","1971","","Unknown","","86","86","210000.00","215000.00","210000.00","10/26/17","09/07/18","No","0"
"245-0240-017-0000","8249","Fair Oaks","95608","3","1 (1 0)","1008","0.1700","1958","Updated/Remodeled","Yes","Kitchen 0-5YR","14","100","249000.00","208000.00","215000.00","11/06/17","01/05/18","Yes","7"
"283-0151-024-0000","2122","Gunn","95608","3","2 (2 0)","1511","0.1820","1970","","No","","37","37","349000.00","349000.00","319000.00","10/03/17","01/05/18","No","0"
"283-0331-006-0000","1900","Rolls","95608","3","3 (2 1)","2234","0.3100","1961","","Unknown","","105","105","647000.00","629000.00","629000.00","10/03/17","02/16/18","No","0"
"232-0414-011-0000","6320","Aslin","95608","4","2 (2 0)","1257","0.1900","1961","Updated/Remodeled","Yes","Bath 0-5YR","9","9","284500.00","284500.00","305000.00","11/29/17","01/08/18","Yes","4"
"260-0250-081-0000","7148","Sutter","95608","5","6 (5 1)","5579","0.7380","2006","","No","","800","800","2199000.00","1849000.00","1650000.00","10/03/15","01/24/18","No","0"
"260-0260-012-0000","3701","Claire","95608","5","5 (4 1)","6492","1.4900","2005","","Unknown","","767","767","3495000.00","2995000.00","2750000.00","09/08/16","11/29/18","No","0"
"245-0253-018-0000","8449","Fair Oaks","95608","5-6","5 (5 0)","4032","0.4590","2004","","No","","210","210","799000.00","650000.00","600000.00","05/17/17","01/12/18","Yes","3"
"232-0201-018-0000","6032","Coyle","95608","4","2 (2 0)","1120","0.1500","1958","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","171","171","309000.00","299900.00","280000.00","06/30/17","01/23/18","No","0"
"272-0051-004-0000","3104","Walnut","95608","4","3 (2 1)","1863","0.6500","1956","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 6-10YR","170","170","615000.00","545000.00","545000.00","08/30/17","03/19/18","Yes","2"
"245-0302-015-0000","5944","Camray","95608","4","3 (2 1)","1927","0.1737","1984","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","22","22","425000.00","425000.00","426500.00","12/06/17","01/22/18","Yes","2"
"258-0350-046-0000","4039","Oak Villa","95608","2","2 (1 1)","1116","0.0292","1973","","No","","6","6","189000.00","189000.00","196000.00","12/01/17","01/08/18","Yes","4"
"256-0370-029","4747","Courtland","95608","2","2 (2 0)","1170","0.0867","1989","Updated/Remodeled","Yes","Kitchen 0-5YR","16","16","259000.00","265000.00","265000.00","07/12/17","02/05/18","Yes","3"
"247-0044-002-0000","6816","APPOMATTOX","95608","3","3 (2 1)","2040","0.2635","1996","","Unknown","","152","152","519000.00","449000.00","445000.00","07/17/17","01/16/18","No","0"
"283-0120-052-0000","5101","Adelina","95608","4","3 (2 1)","2157","0.2100","1997","","Unknown","","218","218","479000.00","459000.00","459000.00","07/23/17","04/18/18","No","0"
"230-0321-006-0000","4337","Virgusell","95608","4","3 (2 1)","2313","0.4300","1964","Updated/Remodeled","Yes","Kitchen 6-10YR","165","165","669000.00","575000.00","560000.00","07/28/17","03/13/18","Yes","3"
"260-0390-027-0000","3400","Lindi","95608","4","3 (3 0)","2565","0.2300","1984","Updated/Remodeled","Yes","Other-Rmks 6-10YR","138","138","570000.00","499000.00","499000.00","08/02/17","01/11/18","Yes","2"
"232-0500-004-0000","6127","Via Casitas","95608","3","3 (2 1)","1380","0.0231","1971","","No","","12","12","199950.00","199950.00","195000.00","12/02/17","01/16/18","No","0"
"273-0250-020-0000","6613","Chiquita","95608","4","3 (2 1)","2064","0.2971","1966","","No","","96","96","500000.00","485000.00","460000.00","09/07/17","01/17/18","No","0"
"289-0433-026-0000","5141","Keane","95608","4-5","4 (4 0)","3750","0.3613","1979","","Unknown","","125","125","1095000.00","999000.00","933394.00","08/04/17","01/12/18","No","0"
"260-0173-011-0000","6211","Samoa","95608","3","2 (2 0)","1523","0.2500","1955","","Unknown","","111","111","351000.00","327900.00","305000.00","07/31/17","03/14/18","Yes","6"
"272-0011-053-0000","3221","Mayer","95608","3","2 (2 0)","1809","0.2000","1974","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","90","90","475000.00","450000.00","445000.00","08/17/17","01/09/18","Yes","3"
"273-0250-044-0000","6608","Stanley","95608","2","1 (1 0)","1568","0.5000","1940","Fixer","No","","55","55","409000.00","409000.00","380000.00","08/18/17","01/31/18","Yes","2"
"260-0350-045-0000","3830","Dotty","95608","4","3 (3 0)","2870","0.2460","1992","","No","","132","132","599000.00","599000.00","600000.00","09/18/17","02/22/18","Yes","4"
"272-0110-067-0000","2942","Whitewood Dr","95608","4","3 (3 0)","2458","0.1429","1994","","No","","162","162","510000.00","480000.00","485000.00","08/23/17","03/01/18","No","0"
"282-0310-017-0000","2332","Via Camino","95608","2","3 (2 1)","1166","0.0197","1972","","No","","4","4","217000.00","217000.00","213000.00","12/11/17","01/22/18","No","0"
"247-0021-006-0000","4535","Woodfair","95608","4-5","3 (3 0)","2047","0.4100","1963","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR,Other-Rmks 0-5YR","124","124","469000.00","419000.00","421000.00","08/25/17","02/02/18","Yes","3"
"247-0240-035-0000","7108","Lincoln","95608","4","3 (3 0)","2530","0.2163","1979","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","110","110","535000.00","479000.00","479000.00","09/07/17","02/05/18","No","0"
"230-0134-031-0000","4535","Hackberry","95608","4","3 (3 0)","3041","0.2151","2006","","Unknown","","70","70","484000.00","479000.00","479000.00","09/20/17","03/06/18","No","0"
