"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"260-0310-049-0009","3900","Park Circle","95608","2-3","2 (2 0)","1400","","1986","","No","","163","163","285000.00","267500.00","260000.00","05/30/19","01/10/20","Yes","2"
"258-0320-038-0000","4043","Oak Villa","95608","3","2 (1 1)","1323","0.0315","1972","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","60","60","253500.00","253500.00","251000.00","11/05/19","02/14/20","No","0"
"272-0280-034-0000","2501","Winsford","95608","3","3 (2 1)","1966","0.1320","1986","Updated/Remodeled","Yes","Bed 0-5YR,Kitchen 0-5YR","50","134","409000.00","409000.00","396000.00","11/15/19","01/30/20","Yes","2"
"258-0252-003-0000","5231","Rita","95608","4","2 (2 0)","2435","0.2700","1986","Updated/Remodeled","Yes","Other-Rmks 11-15YR","59","59","558888.00","529888.00","519888.00","10/14/19","01/10/20","Yes","2"
"271-0324-001-0000","3238","Murchison","95608","4","3 (2 1)","2065","0.2900","1960","","Unknown","","45","45","545000.00","535000.00","530000.00","12/07/19","02/07/20","No","0"
"232-0500-033-0000","6139","Via Casitas","95608","3","3 (2 1)","1380","0.0233","1971","Updated/Remodeled","Yes","Kitchen 11-15YR","29","29","229000.00","226000.00","226000.00","11/19/19","02/21/20","No","0"
"258-0380-002-0000","5103","Richon Vista","95608","2","2 (2 0)","1076","0.1263","1979","","No","","6","6","269000.00","269000.00","280000.00","11/20/19","01/10/20","No","0"
"272-0101-003-0000","5316","Robertson","95608","3","2 (2 0)","1750","0.3500","1940","","No","","299","299","430000.00","395000.00","375000.00","04/28/19","03/02/20","Yes","3"
"272-0210-015-0000","2749","Gunn","95608","3","3 (3 0)","2282","0.2200","1960","","Unknown","","235","235","489000.00","399500.00","395000.00","05/13/19","02/13/20","No","0"
"289-0590-027-0000","1630","Arden Bluffs","95608","4","3 (3 0)","2828","0.2255","1993","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","223","223","775000.00","739900.00","700000.00","09/03/19","06/04/20","No","0"
"245-0291-019-0000","6450","Winding","95608","7","6 (5 1)","2810","0.1869","1971","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","124","124","530000.00","509900.00","500000.00","06/29/19","03/05/20","Yes","2"
"272-0062-018-0000","5425","Robertson","95608","5-6","3 (2 1)","3474","1.1700","1950","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR,Other-Rmks 0-5YR","153","153","825000.00","799000.00","774000.00","08/08/19","02/24/20","Yes","2"
"230-0273-007-0000","4824","Alexon","95608","4","3 (2 1)","2392","0.2360","1961","","Unknown","","153","153","497000.00","460000.00","460000.00","08/15/19","02/19/20","No","0"
"236-0221-009-0000","5351","Greeley","95608","3","2 (2 0)","2128","0.2900","1961","","Unknown","","97","97","404000.00","395000.00","390500.00","08/24/19","01/31/20","No","0"
"260-0050-010-0000","3947","Hillgrove","95608","3","2 (2 0)","1583","0.2600","1960","","Unknown","","123","123","430000.00","400000.00","401000.00","08/29/19","01/31/20","No","0"
"273-0030-019-0000","6620","Landis","95608","3","2 (2 0)","1084","3.8200","1950","Fixer","Unknown","","86","86","895000.00","895000.00","840000.00","09/09/19","01/03/20","No","0"
"272-0090-012-0000","5143","Almond","95608","4","3 (3 0)","2101","0.1100","1990","","Unknown","","67","67","475000.00","400000.00","405000.00","09/05/19","01/08/20","No","0"
"236-0203-005-0000","5123","Schuyler","95608","3","2 (2 0)","1381","0.1944","1960","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","4","4","379000.00","379900.00","379900.00","09/06/19","01/09/20","No","0"
"283-0560-032-0000","2318","Fallwater","95608","3","3 (2 1)","1559","0.0933","1994","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","99","99","385000.00","379900.00","380000.00","09/17/19","01/24/20","Yes","2"
"245-0031-011-0000","6219","Tenny","95608","4","3 (2 1)","1981","0.3019","1961","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","52","52","529900.00","515000.00","505000.00","09/27/19","01/17/20","Yes","2"
"260-0270-033-0000","6838","Grant","95608","3","1 (1 0)","1386","0.2345","1953","","No","","74","258","275000.00","275000.00","250000.00","11/30/19","03/13/20","Yes","4"
"272-0020-115-0000","3244","Mancel","95608","3","3 (3 0)","1928","0.1530","1993","Updated/Remodeled","Yes","Other-Rmks 0-5YR","76","175","424900.00","399900.00","395900.00","09/27/19","01/13/20","No","0"
"260-0091-023-0000","6028","Sutter","95608","3","2 (2 0)","1337","0.5000","1947","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","67","67","435000.00","425000.00","425000.00","09/28/19","03/13/20","Yes","2"
"258-0130-077-0000","3431","Palestine","95608","4","2 (2 0)","2200","0.2424","1980","Updated/Remodeled","Yes","Other-Rmks 6-10YR,Other-Rmks 0-5YR","11","11","525000.00","525000.00","525000.00","09/30/19","08/06/20","No","0"
"258-0130-078-0000","3425","Palestine","95608","4","2 (2 0)","2200","0.2424","1980","Updated/Remodeled","Yes","Other-Rmks 6-10YR,Other-Rmks 0-5YR","11","11","575000.00","575000.00","575000.00","09/30/19","08/06/20","No","0"
"283-0190-026-0000","2024","Gunn","95608","5","4 (3 1)","2953","0.1850","2007","","No","","128","192","725000.00","699900.00","665000.00","10/09/19","03/23/20","No","0"
"256-0111-015-0000","4917","Foster","95608","3","2 (1 1)","1053","0.2300","1957","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","50","50","387000.00","384999.00","385000.00","10/10/19","01/14/20","Yes","2"
"232-0083-016","6036","Ellerslee","95608","3","2 (2 0)","1394","0.1900","1958","","Unknown","","115","115","340000.00","325000.00","314000.00","08/19/19","03/06/20","Yes","3"
"258-0390-023-0000","5226","Linda Lou","95608","3","2 (2 0)","1205","0.1469","1983","","No","","2","2","339000.00","339000.00","339000.00","10/12/19","01/13/20","Yes","2"
"273-0091-051-0000","6476","Chiquita","95608","4","3 (3 0)","3897","0.4545","1974","Updated/Remodeled","Yes","Bath 11-15YR,Other-Rmks 0-5YR","225","225","949000.00","895000.00","860000.00","10/13/19","07/06/20","No","0"
"258-0262-002-0000","3977","Apple Blossom","95608","3","3 (2 1)","1524","0.2601","1963","","No","","134","134","415000.00","379000.00","367000.00","11/20/19","06/23/20","No","0"
"282-0310-002-0000","2302","Via Camino","95608","3","3 (2 1)","1380","0.0225","1972","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","5","5","249900.00","249900.00","247000.00","12/06/19","01/14/20","Yes","2"
"232-0283-018-0000","6109","Coyle","95608","3","1 (1 0)","1181","0.1500","1961","","Unknown","","23","23","435999.00","335999.00","330000.00","10/24/19","01/02/20","No","0"
"260-0212-005-0000","3647","Hollister","95608","4","3 (3 0)","2311","0.2755","2018","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","33","33","610000.00","610000.00","605000.00","10/19/19","01/21/20","No","0"
"272-0011-056-0000","5224","North","95608","3","2 (2 0)","1296","0.1890","1983","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","33","33","349900.00","349900.00","360000.00","11/15/19","01/23/20","Yes","2"
"258-0390-004-0000","4008","Reggie","95608","3","2 (2 0)","1484","0.1700","1979","","Unknown","","106","106","389000.00","379000.00","379000.00","10/27/19","03/06/20","No","0"
"236-0046-004-0000","6416","Teal","95608","4","2 (2 0)","1828","0.2144","1970","","No","","11","11","425000.00","425000.00","423000.00","12/12/19","01/13/20","No","0"
"271-0063-006-0000","3111","Ozzie","95608","3","2 (2 0)","1931","0.2500","1966","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 0-5YR","36","36","549900.00","549900.00","537000.00","12/12/19","02/10/20","Yes","3"
"282-0380-033-0000","1809","Saint Ann","95608","3","2 (2 0)","1785","0.1800","1978","","No","","48","48","448000.00","448000.00","442000.00","10/24/19","01/15/20","No","0"
"236-0321-068-0000","6314","Madison","95608","3","2 (2 0)","1443","0.1600","1977","","Unknown","","66","66","335000.00","325000.00","325000.00","10/31/19","02/14/20","No","0"
"292-0490-004-000","4819","Marlborough","95608","5","3 (3 0)","3094","0.2600","1973","","No","","112","279","845900.00","829900.00","805000.00","09/26/19","02/12/20","No","0"
"283-0440-017-0000","80","Riverknoll","95608","2","3 (3 0)","2150","0.0400","1976","Updated/Remodeled","Yes","Other-Rmks 0-5YR","23","101","459999.00","459999.00","450000.00","11/01/19","01/29/20","No","0"
"260-0250-006-0000","3720","Hollister","95608","4","1 (1 0)","1104","0.5200","1956","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","72","72","439000.00","419000.00","382500.00","09/16/19","01/03/20","No","0"
"230-0650-053-0000","5801","Kimberly Hill","95608","4","2 (2 0)","1747","0.2222","1979","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 6-10YR","32","32","425000.00","399950.00","415000.00","11/01/19","01/22/20","No","0"
"245-0084-003-0000","4432","Rollingrock","95608","3","2 (2 0)","1614","0.2146","1961","Updated/Remodeled","Yes","Kitchen 6-10YR","68","68","434999.00","434999.00","410000.00","11/04/19","01/28/20","No","0"
"260-0183-008-0000","3512","Lynnmar","95608","3-4","3 (2 1)","2854","0.3600","1987","Updated/Remodeled","Yes","Bath 11-15YR,Bath 0-5YR,Bed 11-15YR,Kitchen 0-5YR","56","56","719000.00","698000.00","688000.00","11/04/19","02/06/20","No","0"
"283-0460-017-0000","76","Footbridge","95608","3","3 (3 0)","2326","0.0600","1975","","No","","76","251","525000.00","520000.00","517500.00","11/05/19","02/14/20","No","0"
"289-0475-003-0000","5190","Finlandia","95608","3","3 (2 1)","2451","0.2300","1970","Updated/Remodeled","Yes","Bath 11-15YR,Bed 11-15YR,Kitchen 11-15YR","57","57","779000.00","769000.00","765000.00","11/14/19","02/14/20","Yes","2"
"232-0223-009-0000","5417","Edgerly","95608","3","2 (2 0)","1505","0.1500","1958","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","28","28","350000.00","350000.00","342000.00","11/08/19","01/06/20","No","0"
"260-0191-015-0000","3515","Marshall","95608","5-6","4 (4 0)","3509","0.4200","1950","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","11","11","826000.00","846000.00","855000.00","02/20/20","03/20/20","No","0"
"232-0430-002-0000","5968","Via Casitas","95608","2","1 (1 0)","972","0.0160","1971","Updated/Remodeled","Yes","Other-Rmks 0-5YR","6","6","199000.00","199000.00","200000.00","12/23/19","01/28/20","No","0"
"271-0324-014-0000","3226","Murchison Drive","95608","4","3 (2 1)","1854","0.2400","1960","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","100","100","525000.00","500000.00","495000.00","11/12/19","03/19/20","Yes","2"
"283-0272-031-0000","5545","Linda","95608","3-4","2 (2 0)","2151","0.2160","1956","Updated/Remodeled","Yes","Bath 11-15YR,Bed 11-15YR,Kitchen 0-5YR","30","30","899000.00","899000.00","845000.00","11/14/19","01/13/20","No","0"
"283-0293-004-0000","2229","Hillcrest","95608","3","3 (3 0)","2679","0.3800","1990","","No","","56","56","685000.00","670000.00","667000.00","11/16/19","02/10/20","No","0"
"273-0161-008-0000","2721","Panay","95608","2","2 (2 0)","1092","0.2314","1954","","Unknown","","4","4","319000.00","325000.00","330000.00","12/06/19","01/02/20","Yes","4"
"258-0071-039-000","3705","Mackenzie","95608","4","4 (3 1)","2550","0.2244","","","No","","54","54","648900.00","648900.00","644000.00","12/05/19","02/18/20","No","0"
"260-0480-003-0000","3611","Nicolette","95608","4","3 (2 1)","2354","0.1535","2004","","Unknown","","20","20","499000.00","480000.00","480000.00","11/20/19","01/29/20","No","0"
"232-0530-034-0000","6031","Casa Alegre","95608","2","1 (1 0)","972","0.0169","1973","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 6-10YR","19","19","212500.00","212500.00","213000.00","01/09/20","01/31/20","No","0"
"283-0353-002-0000","1808","Lambeth","95608","3","3 (2 1)","1951","0.3496","1961","Fixer","Unknown","","23","23","698000.00","698000.00","670000.00","11/20/19","01/15/20","No","0"
"273-0161-010-000","2713","Panay","95608","3","2 (2 0)","1555","0.2300","1954","","Unknown","","9","9","398000.00","398000.00","395000.00","12/07/19","01/13/20","No","0"
"282-0212-003-0000","5020","Cottage","95608","4","3 (3 0)","1709","0.2318","1958","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","31","31","455000.00","445000.00","445000.00","11/20/19","01/14/20","Yes","2"
"283-0293-053-0000","2230","Hillcrest","95608","4","5 (3 2)","3055","0.6861","1989","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","77","296","799000.00","799000.00","799000.00","11/23/19","03/12/20","Yes","2"
"258-0234-001-0000","5324","Nyoda","95608","4","3 (3 0)","2038","0.1676","1986","","Unknown","","7","7","455000.00","455000.00","450000.00","11/22/19","01/13/20","No","0"
