"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"245-0160-009-0000","6001","Lincoln","95608","4","3 (3 0)","1939","0.1700","1977","","","","234","234","395500.00","300000.00","280000.00","05/04/07","07/08/08","","0"
"236-0292-029-0000","4712","Paxton","95608","4","2 (2 0)","1750","0.1880","1968","","","","136","136","360900.00","309900.00","305000.00","08/14/07","02/28/08","","0"
"272-0122-006-0000","3056","Stanton","95608","3-4","2 (2 0)","1800","0.2300","1956","","","","101","201","374900.00","349900.00","310000.00","08/13/07","02/01/08","","0"
"283-0510-001-0000","1701","Haggin Grove","95608","4","5 (2 3)","3400","0.2960","1979","","","","161","161","1495000.00","1395000.00","1225000.00","08/09/07","02/04/08","","0"
"258-0320-016-0000","4030","Oak Villa","95608","2","2 (1 1)","1116","0.0290","1972","","","","48","109","140000.00","150000.00","140000.00","08/09/07","02/15/08","","0"
"260-0270-022-0000","6737","Steele Oak","95608","4","3 (3 0)","4540","0.4386","1998","","","","152","152","1495000.00","1275000.00","967285.00","08/03/07","02/05/08","","0"
"283-0010-075-0000","2438","Walnut Oaks","95608","4","3 (3 0)","2686","0.1540","1998","","","","87","87","480000.00","447000.00","415000.00","07/27/07","01/03/08","","0"
"236-0234-001-0000","4753","Wilmer","95608","3-4","3 (2 1)","2508","0.3160","1965","","","","262","365","524900.00","399000.00","385000.00","07/27/07","06/03/08","","0"
"232-0470-034-0000","6066","Via Casitas","95608","3","3 (2 1)","1380","0.0210","1971","","","","224","224","204900.00","139900.00","135000.00","07/25/07","04/16/08","","0"
"230-0161-003-0000","4537","Bela","95608","3","2 (2 0)","1438","0.2480","1960","","","","175","193","369900.00","284900.00","270000.00","07/20/07","02/26/08","","0"
"283-0090-045-0000","5665","Fair Oaks","95608","4","4 (2 2)","2799","0.4800","1978","Fixer","","","95","284","549900.00","425000.00","415000.00","07/20/07","02/26/08","","0"
"260-0120-014-0000","6644","Sutter","95608","3-4","3 (3 0)","1868","0.3850","1977","","","","166","166","450000.00","425000.00","400000.00","07/13/07","01/22/08","","0"
"232-0500-056-0000","6216","Via Casitas","95608","2","3 (2 1)","1166","0.0210","1971","","","","190","190","218000.00","167900.00","160000.00","05/29/07","05/02/08","","0"
"283-0411-021-0000","2000","Ainsley","95608","4","3 (3 0)","2691","0.5800","1974","","","","241","241","825000.00","695000.00","650000.00","05/29/07","04/07/08","","0"
"247-0271-052-0007","7100","Stella","95608","2","2 (2 0)","1000","","1984","","","","312","312","209000.00","179000.00","170000.00","04/26/07","04/03/08","","0"
"230-0333-003-0000","5631","HASKELL AVENUE","95608","4","2 (2 0)","1668","0.2490","1961","","","","353","353","439000.00","324900.00","328500.00","01/18/07","01/31/08","","0"
"273-0162-009-0000","2716","Panay","95608","3","2 (2 0)","1092","0.2310","1954","","","","177","177","294900.00","237900.00","190000.00","09/10/07","04/11/08","","0"
"283-0470-002-0000","5904","Oak","95608","3","2 (2 0)","1700","0.0400","1977","","","","106","106","319000.00","299000.00","275000.00","09/06/07","01/10/08","","0"
"282-0350-023-0000","4753","Olive Oak","95608","4","2 (2 0)","2040","0.1500","1976","","","","208","208","525000.00","439000.00","439000.00","08/20/07","04/08/08","","0"
"258-0330-031-0000","5221","Gibbons","95608","3","2 (1 1)","1323","0.0310","1977","","","","70","363","195000.00","195000.00","180000.00","09/06/07","01/25/08","","0"
"229-0050-024-0000","5847","Del Campo","95608","3","2 (1 1)","1713","0.4240","1947","","","","183","183","325000.00","275000.00","266000.00","10/19/07","05/19/08","","0"
"282-0105-004-0000","4912","Donovan","95608","3","1 (1 0)","1053","0.2310","1955","","","","98","98","249900.00","182900.00","200000.00","09/05/07","01/15/08","","0"
"256-0390-022-0000","3732","Gibbons Park","95608","4","3 (3 0)","3357","0.2320","2005","","","","121","121","689000.00","689000.00","620000.00","09/01/07","01/18/08","","0"
"260-0120-058-0000","3745","MARSHALL","95608","4","4 (3 1)","3480","0.2200","2006","","","","79","79","799000.00","720000.00","690000.00","08/28/07","02/22/08","","0"
"258-0032-015-0000","3901","Horton","95608","3","2 (2 0)","1453","0.2700","1956","","","","120","120","299000.00","289000.00","270000.00","08/22/07","02/13/08","","0"
"245-0041-011-0000","4633","Jan","95608","3","3 (2 1)","1400","0.3150","1962","","","","119","226","358000.00","335000.00","328000.00","08/17/07","01/30/08","","0"
"273-0162-006-0000","2728","Panay","95608","3","2 (2 0)","1092","0.2310","1954","Fixer","","","88","88","239900.00","209900.00","206000.00","09/09/07","01/04/08","","0"
"283-0120-018-0000","5112","Vale","95608","3","2 (2 0)","1664","0.2310","1954","","","","117","221","344900.00","292900.00","275000.00","09/21/07","02/27/08","","0"
"236-0332-006-0000","4730","Rustic Oak","95608","4","3 (2 1)","2130","0.2100","1980","","","","111","111","459000.00","439000.00","420000.00","09/24/07","02/29/08","","0"
