"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"236-0223-010-0000","6155","Silverton","95608","3","2 (2 0)","1419","0.2010","1965","","","","142","142","389900.00","354900.00","345000.00","08/30/06","02/20/07","","0"
"232-0224-003-0000","6120","Templeton","95608","3","2 (2 0)","1232","0.2000","1958","","","","93","93","369000.00","325900.00","307500.00","08/26/06","02/23/07","","0"
"272-0290-034-0000","2517","Gunn","95608","4","2 (2 0)","2642","0.3300","2006","","","","136","373","589000.00","539000.00","492000.00","08/25/06","02/12/07","","0"
"260-0332-016-0000","6049","Holeton","95608","3-4","3 (2 1)","2700","0.4000","1956","","","","168","236","575000.00","485000.00","493000.00","08/21/06","04/11/07","","0"
"229-0271-024-0000","5985","Marlin","95608","4","2 (2 0)","1344","0.1300","1961","","","","99","99","318000.00","315000.00","315000.00","08/15/06","02/13/07","","0"
"260-0350-051-0000","3844","Delaware","95608","4","3 (3 0)","1696","0.1750","1954","","","","277","277","361000.00","260000.00","250000.00","08/14/06","09/05/07","","0"
"272-0062-018-0000","5425","Robertson","95608","4","3 (2 1)","2538","1.1700","","","","","125","125","1250000.00","1050000.00","900000.00","08/09/06","01/31/07","","0"
"230-0403-004-0000","4201","Sharwood","95608","3","2 (2 0)","1793","0.3150","1975","","","","160","266","489900.00","374900.00","348000.00","08/01/06","02/01/07","","0"
"256-0054-008-0000","3734","Chamberlain","95608","3","2 (2 0)","1559","0.2300","1957","","","","176","176","365000.00","349800.00","325000.00","08/02/06","02/15/07","","0"
"273-0311-076-0000","6136","Landis","95608","4","3 (2 1)","3144","0.2650","2006","","","","217","272","829000.00","749000.00","715000.00","08/01/06","04/06/07","","0"
"256-0330-028-0000","4717","Good","95608","2","2 (2 0)","1229","0.0830","1973","","","","151","151","298500.00","279000.00","277500.00","07/31/06","02/13/07","","0"
"292-0480-026-0000","4772","Dovercourt","95608","4","3 (2 1)","2500","0.2900","1972","","","","118","118","895000.00","825000.00","778000.00","07/17/06","01/04/07","","0"
"258-0320-037-0000","4041","Oak Villa","95608","2","2 (1 1)","896","0.0290","1973","","","","166","166","225000.00","209000.00","205000.00","07/17/06","02/14/07","","0"
"258-0400-033-0000","3429","SHAWHAN","95608","4","2 (2 0)","1724","0.1280","2000","","","","200","200","444000.00","444000.00","400000.00","06/26/06","02/26/07","","0"
"282-0340-004-0000","2000","Clearfield","95608","3","2 (2 0)","1810","0.1500","1976","","","","172","172","457000.00","429000.00","420000.00","06/23/06","01/08/07","","0"
"283-0500-001","24","Quail Point Place","95608","3","2 (2 0)","2289","0.0700","1978","","","","248","248","699250.00","649250.00","605000.00","05/18/06","04/02/07","","0"
"260-0241-006-0000","3522","Altamont","95608","4","2 (2 0)","1562","0.5000","1959","","","","236","236","600000.00","445000.00","430000.00","04/11/06","01/05/07","","0"
"232-0530-014-0000","5971","Casa Alegre","95608","2","2 (2 0)","1054","0.0330","1973","","","","337","366","255000.00","220000.00","214250.00","03/29/06","04/10/07","","0"
"273-0230-025","6300","Van Alstine","95608","1-3","1 (1 0)","1000","0.7500","","","","","446","446","799000.00","750000.00","650000.00","10/24/05","05/01/07","","0"
"273-0013-035-0000","6105","Holt","95608","4","4 (3 1)","4350","0.2500","2006","","","","479","610","1100000.00","969000.00","915000.00","10/19/05","03/30/07","","0"
"271-0253-010-0000","2536","Landwood","95608","3","2 (2 0)","1500","0.2700","1954","","","","173","173","389000.00","350000.00","340000.00","09/01/06","04/13/07","","0"
"232-0082-003-0000","5530","Woodleigh","95608","3","1 (1 0)","1304","0.2400","1958","","","","155","155","315000.00","310000.00","288000.00","09/06/06","03/20/07","","0"
"230-0403-006-0000","4141","Sharwood","95608","3","2 (2 0)","1780","0.2670","1961","","","","98","207","389000.00","369500.00","360500.00","09/06/06","01/04/07","","0"
"232-0201-019-0000","6036","Coyle","95608","3","2 (2 0)","1078","0.1500","1958","","","","147","169","269000.00","269000.00","250000.00","08/23/06","03/06/07","","0"
"232-0500-018-0000","6142","Via Casitas","95608","2","1 (1 0)","961","0.0310","1971","","","","132","132","215000.00","190000.00","184000.00","08/23/06","01/22/07","","0"
"283-0252-015-0000","5225","Arden","95608","3","2 (2 0)","1866","0.0810","1991","","","","104","104","489900.00","459000.00","450000.00","09/08/06","01/25/07","","0"
"236-0223-003-0000","6166","Longmont","95608","5-6","3 (3 0)","2560","0.2010","1963","","","","126","304","459900.00","409000.00","380000.00","08/15/06","01/26/07","","0"
"247-0123-015","4353","GALEWOOD","95608","3-4","2 (2 0)","1600","0.2530","1963","","","","84","84","409000.00","380000.00","370000.00","09/20/06","01/12/07","","0"
