"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"260-0410-019-0000","3929","Cyrus","95608","3","3 (2 1)","1480","0.1000","1992","","","","0","336","159000.00","159000.00","157500.00","","06/06/00","","0"
"236-0243-003-0000","6248","Saint James","95608","4","3 (3 0)","2123","0.2100","1962","","","","0","28","239500.00","239500.00","235000.00","","05/08/00","","0"
"272-0241-050-0000","2700","Compton Parc","95608","3","3 (2 1)","1614","0.1100","1993","","","","0","192","165000.00","165000.00","165000.00","","11/06/00","","0"
"260-0470-016-0000","6000","Amir","95608","3","3 (2 1)","1614","0.1100","1996","","","","0","28","159900.00","159900.00","160000.00","","04/27/00","","0"
"260-0410-014-0000","3930","Cyrus","95608","3","3 (2 1)","1480","0.1900","1992","","","","0","399","159000.00","159000.00","157500.00","","07/05/00","","0"
"260-0410-018-0000","3925","Cyrus","95608","3","3 (2 1)","1480","0.1000","1992","","","","0","431","159000.00","163500.00","163000.00","","09/08/00","","0"
"283-0151-012-0000","2130","Gunn","95608","2","2 (2 0)","1439","0.6400","1930","Fixer","","","0","0","180000.00","180000.00","180000.00","","03/28/00","","0"
"247-0293-006-0000","4606","Las Lindas","95608","4-3","2 (2 0)","2114","0.1800","1970","","","","0","7","205000.00","205000.00","205000.00","","02/24/00","","0"
"282-0310-017-0000","2332","Via Camino","95608","2","7 (2 5)","1166","0.0200","1972","","","","0","54","92000.00","92000.00","89000.00","","04/10/00","","0"
"283-0252-021-0000","5243","Arden","95608","3","3 (2 1)","1925","0.0500","1991","","","","0","60","182500.00","182500.00","182500.00","","03/14/00","","0"
"271-0211-013-0000","2736","Mission","95608","3","2 (2 0)","1900","0.2500","1964","","","","0","27","204500.00","204500.00","204500.00","","03/30/00","","0"
"230-0610-001-0001","5325","Manzanita","95608","2","1 (1 0)","843","0.0200","1972","","","","0","12","625000.00","62500.00","62500.00","","07/20/00","","0"
"283-0083-001-0000","2348","Calumet","95608","3","2 (2 0)","1535","0.2300","1958","","","","0","30","189900.00","189900.00","187500.00","","11/20/00","","0"
"230-0264-003-0000","5133","Locust","95608","3","2 (2 0)","1900","0.2300","1962","","","","0","4","199500.00","199500.00","197500.00","","03/10/00","","0"
"236-0281-041-0000","6035","Helva","95608","3","2 (2 0)","1425","0.2400","1984","","","","0","137","159900.00","159000.00","148800.00","","03/06/00","","0"
"245-0271-027-0000","6721","Lincoln","95608","3","2 (2 0)","1173","0.3300","1952","","","","0","69","177950.00","145000.00","155000.00","","12/30/00","","0"
"232-0082-005-0000","5518","Woodleigh","95608","3","1 (1 0)","1040","0.2100","1958","","","","0","68","139900.00","135000.00","135000.00","","11/30/00","","0"
"230-0401-005-0000","5234","Locust","95608","4","2 (2 0)","1432","0.2300","1961","","","","0","6","149000.00","149000.00","149000.00","","07/31/00","","0"
"232-0490-060-0000","6102","Via Casitas","95608","2","1 (1 0)","900","0.0300","1971","","","","0","4","79000.00","79000.00","79000.00","","09/25/00","","0"
"272-0260-052-0000","2640","Gunn","95608","2","1 (1 0)","1509","0.4100","1940","","","","0","51","185000.00","179950.00","166500.00","","04/28/00","","0"
"236-0092-006-0000","4756","Crestview","95608","3","2 (1 1)","1700","0.2600","1958","","","","0","27","182500.00","182500.00","178000.00","","06/29/00","","0"
"272-0241-042-0000","2747","Compton Parc","95608","3","3 (2 1)","1548","0.1100","1993","","","","0","4","169900.00","169900.00","169900.00","","06/02/00","","0"
"230-0860-043-0000","4613","Carrigan","95608","5","3 (3 0)","2645","0.1700","1999","","","","0","79","298000.00","289000.00","284000.00","","06/30/00","","0"
"256-0284-015-0000","4911","Gibbons","95608","3","2 (2 0)","1365","0.2300","1961","","","","0","4","162000.00","162000.00","162000.00","","05/25/00","","0"
"271-0170-125-0000","2831","Root","95608","2","2 (2 0)","1354","0.2100","1981","","","","0","92","159500.00","154500.00","150000.00","","06/30/00","","0"
"232-0252-002-0000","6400","Templeton","95608","3","2 (2 0)","1027","0.1800","1958","Fixer","","","0","8","105000.00","105000.00","98000.00","","05/23/00","","0"
"256-0031-068-0000","4022","Hollow Wood","95608","2","3 (2 1)","1428","0.0700","1982","","","","0","98","135000.00","130000.00","127500.00","","08/25/00","","0"
"236-0115-007-0000","6048","Cherrelyn","95608","3","2 (2 0)","1300","0.2500","1959","","","","0","47","160000.00","160000.00","161880.00","","05/17/00","","0"
"260-0165-007-0000","6242","Cassady","95608","3","1 (1 0)","1008","0.2500","1958","","","","0","6","127500.00","127500.00","127500.00","","05/05/00","","0"
"236-0173-006-0000","4817","Crestview","95608","3","2 (2 0)","1690","0.2400","1959","Fixer","","","0","87","169500.00","152500.00","140000.00","","12/22/00","","0"
"232-0252-007-0000","6430","Templeton","95608","3","2 (2 0)","1134","0.1500","1958","","","","0","5","154500.00","154500.00","154500.00","","11/28/00","","0"
"273-0250-046-0000","3149","Edgehill","95608","2-3","2 (2 0)","1998","0.8300","9999","","","","0","66","349000.00","349000.00","330000.00","","07/18/00","","0"
"232-0500-051-0000","6206","Via Casitas","95608","2","3 (2 1)","1166","0.0200","1971","","","","0","16","89950.00","89950.00","87000.00","","06/30/00","","0"
"282-0310-034-0000","2333","Via Camino","95608","2","3 (2 1)","1100","0.0200","1972","","","","0","81","105000.00","105000.00","105000.00","","10/13/00","","0"
"282-0073-020-0000","4913","Boyd","95608","3","2 (1 1)","962","0.2400","1955","","","","0","60","129900.00","129900.00","129900.00","","08/23/00","","0"
"273-0220-061-0000","2628","California","95608","3-4","2 (2 0)","1657","0.8000","1940","","","","0","68","595000.00","595000.00","569000.00","","09/29/00","","0"
"069-364-014-000","5522","Hemlock","95608","3","2 (2 0)","1065","0.1700","1980","","","","0","51","149900.00","149900.00","140000.00","","08/03/00","","0"
"232-0420-017-0000","5932","Via Casitas","95608","3","7 (2 5)","1380","0.0200","1971","","","","0","37","96000.00","96000.00","96500.00","","09/08/00","","0"
"272-0032-036-0000","3209","Max","95608","4-5","3 (2 1)","2900","0.2700","1993","","","","0","18","315000.00","315000.00","315500.00","","08/16/00","","0"
"245-0022-011-0000","6101","Rampart","95608","3","3 (2 1)","1900","0.3000","1959","","","","0","38","284000.00","279000.00","275600.00","","09/29/00","","0"
"258-0160-077-0000","5541","Barbara","95608","2","1 (1 0)","1386","0.3400","1952","","","","0","4","149000.00","150000.00","149800.00","","08/30/00","","0"
"232-0252-006-0000","6424","Templeton","95608","3","2 (2 0)","1355","0.1500","1958","","","","0","5","167900.00","167900.00","164500.00","","10/31/00","","0"
"271-0303-012-0000","2520","La France","95608","3","2 (2 0)","1158","0.3300","1953","","","","0","3","169950.00","169950.00","173000.00","","10/31/00","","0"
"271-0090-012-0000","4735","Loch Lomond","95608","2","2 (1 1)","1413","0.4000","1952","","","","0","7","172500.00","172500.00","186000.00","","10/23/00","","0"
"236-0314-004-0000","6324","Pennyroyal","95608","3","2 (2 0)","1730","0.2000","1969","","","","0","7","220000.00","220000.00","216500.00","","11/16/00","","0"
"245-0271-015-0000","4211","Lingrove","95608","3","2 (2 0)","1274","0.2400","1963","","","","0","14","157000.00","157000.00","152000.00","","11/09/00","","0"
"236-0243-019-0000","4906","Crestview","95608","4","2 (2 0)","1624","0.2400","1963","","","","0","3","189950.00","189950.00","184000.00","","11/22/00","","0"
"260-0063-012-0000","8748","Fair Oaks","95608","3","2 (1 1)","1000","0.2600","1977","","","","0","16","109000.00","119000.00","119000.00","","12/07/00","","0"
