"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"256-0390-006","4722","Gibbons","95608","3","3 (2 1)","3090","0.1768","","","","","166","166","759442.00","734442.00","734442.00","08/31/05","03/23/06","","0"
"289-0042-010-0000","5009","Paloma","95608","3","3 (2 1)","2598","0.6000","1980","","","","153","153","1095000.00","924900.00","850000.00","08/26/05","02/27/06","","0"
"272-0150-005-0000","5515","Marconi","95608","2","1 (1 0)","1216","0.1860","1953","","","","198","198","450000.00","279500.00","350000.00","08/15/05","04/11/06","","0"
"256-0062-006-0000","4811","Engle","95608","3","2 (2 0)","1053","0.2700","1995","","","","88","88","379500.00","330000.00","330000.00","08/21/05","01/02/06","","0"
"232-0460-08","5949","Via Casitas","95608","2","2 (1 1)","972","0.0160","1971","","","","239","239","234900.00","214950.00","217500.00","08/22/05","05/25/06","","0"
"256-0370-003-0","4745","Courtland","95608","2","3 (2 1)","1174","0.0391","1989","","","","132","132","310000.00","275000.00","280500.00","08/13/05","02/20/06","","0"
"283-0050-068-0000","6132","Van Alstine","95608","6","7 (7 0)","5500","0.8550","2004","","","","120","196","1895000.00","1765000.00","1685000.00","08/12/05","02/10/06","","0"
"232-0470-022-0000","6036","Via Casitas","95608","3","3 (2 1)","1380","","1971","","","","230","230","280000.00","239900.00","225000.00","08/10/05","05/16/06","","0"
"282-0292-009-0000","2101","Eric","95608","3","2 (2 0)","1656","0.2320","1958","","","","141","141","472500.00","420000.00","415000.00","07/28/05","01/04/06","","0"
"258-0123-031-0000","3509","JAY JAY","95608","5","3 (3 0)","3250","0.1900","2005","","","","206","305","695900.00","649500.00","627750.00","06/30/05","02/17/06","","0"
"258-0123-033-0000","3515","JAY JAY","95608","4","3 (2 1)","3018","0.2200","2005","","","","153","284","675500.00","675500.00","670000.00","06/30/05","03/31/06","","0"
"283-0560-026-0000","2241","Fallwater","95608","2","3 (2 1)","1403","0.0990","1994","","","","191","191","424900.00","378500.00","380000.00","06/28/05","02/20/06","","0"
"283-0010-068-0000","5233","Wyndham Oak","95608","4-6","3 (3 0)","3017","0.1510","1998","","","","116","116","719000.00","649000.00","635000.00","06/22/05","01/27/06","","0"
"289-0241-015-0000","1543","Elsdon","95608","4","4 (3 1)","3357","0.4400","1985","","","","155","155","15000000.00","1425000.00","1300000.00","06/13/05","03/30/06","","0"
"232-0500-063-0000","6237","Via Casitas","95608","3","3 (2 1)","1380","0.0230","1971","","","","164","164","289500.00","257000.00","248000.00","06/06/05","03/31/06","","0"
"247-0122-010-0000","4306","Galewood","95608","4","2 (2 0)","2085","0.2440","1961","","","","223","223","489900.00","477000.00","480000.00","05/27/05","03/31/06","","0"
"236-0253-006-0000","4846","Wiedman","95608","4","2 (2 0)","1440","0.1620","1963","","","","196","265","359900.00","349900.00","340000.00","04/04/05","01/05/06","","0"
"236-0313-012-0000","6323","Pennyroyal","95608","3","2 (2 0)","1768","0.1950","1971","","","","133","133","425000.00","385950.00","370000.00","09/01/05","02/17/06","","0"
"230-0710-021-0000","4135","SCRANTON","95608","2","2 (2 0)","1288","0.0940","1978","","","","136","136","329000.00","279600.00","282000.00","09/29/05","03/29/06","","0"
"289-0262-009-0000","5431","Tree Side","95608","3","3 (2 1)","2500","0.2700","1965","","","","153","153","700000.00","667000.00","667000.00","09/20/05","03/16/06","","0"
"236-0244-004-0000","4864","CRESTVIEW","95608","4","2 (2 0)","1624","0.1920","1961","","","","79","79","425000.00","405000.00","403000.00","09/16/05","01/12/06","","0"
"236-0121-004-0000","5225","Columbine","95608","3","2 (1 1)","1358","0.2810","1960","","","","78","78","399000.00","359000.00","369500.00","09/06/05","01/05/06","","0"
"282-0330-020-0000","2402","VIA CAMINO","95608","3","3 (2 1)","1380","0.0240","1972","","","","113","113","270000.00","260000.00","250000.00","10/04/05","02/16/06","","0"
"256-0330-010-0000","4725","Eli","95608","3","2 (1 1)","1289","0.0890","1973","","","","18","63","309500.00","309500.00","310000.00","10/06/05","01/04/06","","0"
"282-0245-001-0000","1750","Mission","95608","3","2 (2 0)","1444","0.2680","1957","","","","117","117","455000.00","399500.00","365000.00","09/12/05","02/10/06","","0"
"229-0274-012-0000","5833","Sharps","95608","3","2 (1 1)","1273","0.1300","1961","","","","188","188","368000.00","330000.00","330000.00","09/06/05","06/20/06","","0"
"245-0150-011-0000","6209","Lincoln","95608","2","1 (1 0)","842","0.4900","1945","","","","59","59","375000.00","350000.00","337500.00","10/07/05","02/03/06","","0"
"273-0123-018","3037","Marlynn","95608","4","3 (2 1)","3200","0.5000","1982","","","","60","60","925000.00","799000.00","798500.00","10/10/05","02/02/06","","0"
"258-0053-010-0000","3801","Horton","95608","3","1 (1 0)","1209","0.2400","1956","","","","89","89","339000.00","309000.00","320000.00","10/12/05","02/17/06","","0"
"292-0414-001-0000","1030","Jacob","95608","3-4","2 (2 0)","2250","0.2900","1969","","","","107","107","729000.00","729000.00","710000.00","09/05/05","01/18/06","","0"
"245-0303-046-0000","5909","Adana","95608","3","3 (2 1)","1955","0.1820","1980","","","","41","41","455000.00","455000.00","455000.00","10/07/05","01/31/06","","0"
"245-0091-015-0000","4321","Jan","95608","3","2 (2 0)","1471","0.2260","1961","","","","107","107","379000.00","369000.00","365000.00","10/10/05","03/31/06","","0"
"282-0062-005-0000","4718","Melvin","95608","3","2 (2 0)","1207","0.2100","1957","","","","65","65","349950.00","328000.00","309000.00","10/11/05","01/18/06","","0"
"232-0224-009","6145","Madison","95608","3","1 (1 0)","1040","0.2700","1958","","","","49","49","329900.00","315000.00","320000.00","10/17/05","01/20/06","","0"
"245-0222-021-0000","6441","Miles","95608","3","2 (2 0)","1171","0.2410","1958","","","","106","106","349500.00","319950.00","324750.00","10/21/05","03/03/06","","0"
