"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"273-0220-044-0000","2633","Willow","95608","2","2 (2 0)","1862","0.5700","1980","","Unknown","","203","203","555500.00","555500.00","495885.00","07/22/14","03/05/15","","0"
"260-0490-008-0000","3530","Serramont","95608","4","4 (3 1)","4240","0.4800","2014","","No","","125","125","937500.00","949900.00","949900.00","07/18/14","01/12/15","","0"
"273-0230-019-0000","6228","Van Alstine","95608","4","3 (2 1)","2843","0.5600","2000","Updated/Remodeled","Yes","Kitchen 0-5YR","179","179","1075000.00","1075000.00","980000.00","07/09/14","03/10/15","","0"
"260-0390-004-000","3405","Riverdale","95608","4","3 (2 1)","2197","0.1470","1978","Updated/Remodeled","Yes","Bath 0-5YR,Bed 6-10YR,Kitchen 6-10YR","172","172","519000.00","430000.00","418000.00","07/03/14","01/22/15","","0"
"232-0364-003-0000","6304","Edgerton","95608","3","1 (1 0)","1020","0.1400","1961","Fixer","No","","235","235","200000.00","171000.00","171000.00","06/24/14","05/20/15","","0"
"232-0500-063-0000","6237","Via Casitas","95608","3","3 (2 1)","1380","0.0233","1971","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 6-10YR","100","100","139900.00","134900.00","138000.00","07/07/14","07/16/15","","0"
"292-0392-018","999","Riffle","95608","3","2 (2 0)","1521","0.2100","1973","","No","","192","192","424999.00","399900.00","375000.00","06/20/14","03/02/15","","0"
"232-0201-032-0000","5605","Sapunor","95608","3","2 (2 0)","1078","0.1400","1958","Updated/Remodeled","Yes","Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","122","255","195000.00","185000.00","180700.00","06/17/14","03/27/15","","0"
"273-0311-080-0000","6140","Rosy","95608","4","4 (3 1)","3139","0.3180","2002","","Unknown","","231","231","1095000.00","1049000.00","985000.00","06/17/14","02/18/15","","0"
"283-0520-011-0000","26","River Bluff","95608","3-4","3 (3 0)","3820","0.0600","1982","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","201","402","985000.00","895000.00","875000.00","06/14/14","02/27/15","","0"
"273-0030-108-0000","6449","Stanley","95608","4","4 (4 0)","4985","3.9300","1985","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","279","279","1675000.00","1675000.00","1630000.00","05/30/14","05/19/15","","0"
"260-0080-054-0000","3820","California","95608","3","2 (2 0)","1134","1.6300","1977","","No","","202","202","479000.00","325000.00","325000.00","05/29/14","01/27/15","","0"
"273-0132-029-0000","2925","Petrosyan","95608","3","4 (3 1)","2506","0.7899","1978","Fixer","Unknown","","126","127","329900.00","269900.00","270000.00","05/24/14","02/09/15","","0"
"230-0323-016-0000","5333","Sedona","95608","4-5","3 (2 1)","2000","0.3046","1968","Updated/Remodeled","Yes","Kitchen 6-10YR","183","183","399888.00","360000.00","360000.00","05/23/14","02/27/15","","0"
"273-0150-025-0000","6319","Palm","95608","3-4","2 (2 0)","1619","0.2566","1960","Updated/Remodeled","Yes","Bath 11-15YR,Kitchen 0-5YR","194","194","445000.00","399000.00","389500.00","05/21/14","01/27/15","","0"
"230-0315-023-0000","5140","Winding","95608","3","2 (2 0)","2117","2.3300","1956","Updated/Remodeled","Yes","Bath 11-15YR,Other-Rmks 11-15YR","193","193","579900.00","539900.00","520000.00","05/09/14","01/14/15","","0"
"260-0260-013-0000","3711","Claire","95608","3","3 (3 0)","2964","0.6700","1960","Updated/Remodeled","Yes","Bath 0-5YR","143","143","800000.00","522500.00","505000.00","12/16/13","05/26/15","","0"
