"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"236-0245-007-0000","4869","Crestview","95608","3","2 (2 0)","1502","0.2400","1961","","","","0","38","217500.00","217500.00","217500.00","","12/10/01","","0"
"236-0216-011-0000","5118","Robander","95608","3","2 (2 0)","1676","0.2100","1967","","","","0","96","229000.00","199000.00","202000.00","","12/19/01","","0"
"271-0294-015-0000","2528","Landwood","95608","3","1 (1 0)","1120","0.2300","1954","","","","0","4","164900.00","164900.00","175000.00","","10/12/01","","0"
"260-0181-021-0000","3501","Pickwick","95608","3","2 (2 0)","1300","0.4400","1962","","","","0","6","265000.00","265000.00","265000.00","","09/20/01","","0"
"282-0212-019-0000","5023","Oakleaf","95608","3","2 (2 0)","1784","0.2300","1960","","","","0","17","303000.00","303000.00","300500.00","","09/11/01","","0"
"230-0201-011-0000","4146","Walnut","95608","3","3 (2 1)","1296","0.3300","1959","","","","0","35","225000.00","210000.00","205000.00","","08/31/01","","0"
"245-0251-022-0000","8301","Fair Oaks","95608","2","1 (1 0)","938","0.2300","1942","Fixer","","","0","53","119000.00","119000.00","105000.00","","11/05/01","","0"
"272-0182-008-0000","2817","La Colina","95608","3","2 (2 0)","1719","0.2300","1956","","","","0","14","205000.00","205000.00","205000.00","","06/29/01","","0"
"273-0220-004-0000","6232","Kenneth","95608","3","2 (2 0)","2257","0.4500","1950","","","","0","31","359900.00","359900.00","320000.00","","07/12/01","","0"
"260-0021-016-0000","3903","California","95608","3","1 (1 0)","1421","0.5000","1948","Fixer","","","0","73","259900.00","165000.00","145000.00","","09/25/01","","0"
"283-0190-022-0000","5310","Carneia","95608","4","3 (2 1)","2173","0.2500","1976","","","","0","19","309500.00","294500.00","284000.00","","05/18/01","","0"
"272-0121-024-0000","3057","Stanton Cr","95608","3","2 (2 0)","1894","0.2200","1956","","","","0","70","219500.00","199900.00","172000.00","","06/15/01","","0"
"272-860-000","5732","Angelina","95608","2","1 (1 0)","1156","0.3900","1948","","","","0","138","148777.00","148777.00","147900.00","","09/14/01","","0"
"256-0032-007-0000","5000","Patric","95608","4","2 (2 0)","2100","0.2300","1960","","","","0","34","240000.00","240000.00","240000.00","","04/13/01","","0"
"260-0770-040-0000","3447","Grant Park","95608","3","3 (2 1)","1800","0.1900","1981","","","","0","78","302500.00","220000.00","223000.00","","05/15/01","","0"
"273-0123-009-0000","6321","Eastmont","95608","3","3 (2 1)","2000","0.2500","1957","","","","0","3","310000.00","315000.00","315000.00","","02/15/01","","0"
"260-0141-013-0000","3701","Orangerie","95608","3","2 (2 0)","1403","0.2300","1958","","","","0","15","182000.00","182000.00","182000.00","","02/16/01","","0"
"247-0280-017-0000","4063","Eastwood Village","95608","3","2 (2 0)","1485","0.0900","1992","","","","0","183","169900.00","164900.00","162000.00","","01/17/01","","0"
"247-0280-013-0000","4052","Eastwood Village","95608","3","2 (2 0)","1485","0.1000","1992","","","","0","192","169900.00","164900.00","169900.00","","03/01/01","","0"
"272-0241-043-0000","2751","Compton Parc","95608","3","3 (2 1)","1614","0.0900","1993","","","","0","210","169900.00","169900.00","167500.00","","01/30/01","","0"
"272-0241-049-0000","2704","Compton Parc","95608","3","3 (2 1)","1614","0.0900","1993","","","","0","294","169000.00","169000.00","169900.00","","02/20/01","","0"
"260-0410-015-0000","3926","Cyrus","95608","3","3 (2 1)","1480","0.1000","1992","","","","0","601","159000.00","159000.00","158000.00","","02/09/01","","0"
"247-0280-025-0000","4031","Eastwood Village","95608","3","3 (2 1)","1480","0.0800","1992","","","","0","573","159000.00","159000.00","160000.00","","01/31/01","","0"
"272-0241-045-0000","2734","Compton Parc","95608","3","3 (2 1)","1548","0.0900","1993","","","","0","225","169900.00","169900.00","169900.00","","02/09/01","","0"
"272-0241-047-0000","2726","Compton Parc","95608","3","3 (2 1)","1548","0.0900","1993","","","","0","218","169900.00","169900.00","169900.00","","03/08/01","","0"
"260-0050-046-0000","3943","Nicklaus","95608","4","2 (2 0)","1900","0.2500","1987","","","","0","182","249900.00","238500.00","232500.00","","05/15/01","","0"
"232-0231-010-0000","6249","Templeton","95608","4-5","2 (2 0)","1523","0.1800","1958","","","","0","85","130000.00","130000.00","130000.00","","01/19/01","","0"
"260-0200-035-0000","3632","Marshall","95608","2","1 (1 0)","1436","0.4400","1952","Fixer","","","0","0","138000.00","138000.00","125000.00","","02/09/01","","0"
"258-0360-052-0000","5424","Lequel","95608","4","4 (3 1)","2361","0.1600","1979","","","","0","43","250000.00","250000.00","245000.00","","02/20/01","","0"
"229-0254-015-0000","6107","Hilltop","95608","2","1 (1 0)","960","0.1300","1961","","","","0","58","132000.00","132000.00","132000.00","","02/22/01","","0"
"236-0214-004-0000","6619","Oakcrest","95608","3","2 (2 0)","1400","0.1740","1963","","","","0","44","173900.00","173900.00","168000.00","","01/18/01","","0"
"247-0260-043-0000","7306","Lincoln","95608","3","2 (2 0)","1000","0.3100","1970","","","","0","18","155000.00","155000.00","152000.00","","01/24/01","","0"
"283-0211-007-0000","5201","Glancy","95608","4","2 (2 0)","1463","0.2500","1957","","","","0","0","195000.00","195000.00","195000.00","","01/16/01","","0"
"236-0262-009-0000","4869","Schuyler","95608","2","2 (2 0)","1764","0.2000","1974","","","","0","15","210000.00","203000.00","185500.00","","01/19/01","","0"
"230-0201-060-0000","4121","Tyrone","95608","3","2 (2 0)","987","0.2100","1950","","","","0","3","139500.00","149500.00","151000.00","","04/25/01","","0"
