"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"282-0062-009-0000","4742","Melvin","95608","3","2 (2 0)","1780","0.2310","1957","","","","388","388","325000.00","219000.00","215000.00","04/13/09","06/08/10","","0"
"236-0143-022-0000","5320","Flagstone","95608","4","2 (2 0)","1978","0.1970","1960","","","","346","696","219900.00","189900.00","173000.00","07/15/09","08/13/10","","0"
"230-0145-021-0000","4612","Shaftesbury","95608","4","3 (3 0)","2554","0.4100","1969","","","","109","109","324777.00","288500.00","260000.00","07/17/09","02/11/10","","0"
"289-0080-003","4828","Arden","95608","3","2 (2 0)","1616","0.3100","1958","Fixer","","","218","218","320000.00","232500.00","245000.00","07/02/09","04/22/10","","0"
"271-0313-084-0000","4958","Silver Ranch","95608","3","3 (2 1)","2114","0.1300","2001","","","","242","242","369000.00","319000.00","300000.00","07/01/09","03/31/10","","0"
"245-0310-003-0000","4149","Shera","95608","2","2 (2 0)","1148","0.0650","1985","Updated/Remodeled","Yes","","314","314","149000.00","149000.00","140000.00","06/13/09","06/01/10","","0"
"272-0172-002-0000","5236","Marconi","95608","3","1 (1 0)","971","0.1800","1941","","","","183","183","200000.00","140000.00","105000.00","05/21/09","02/01/10","","0"
"272-0172-001-0000","5228","Marconi","95608","0","0 (0 0)","800","0.5100","","Fixer","","","183","183","250000.00","175000.00","105000.00","05/21/09","02/01/10","","0"
"236-0243-019-0000","4906","Crestview","95608","4","2 (2 0)","1624","0.2360","1963","Updated/Remodeled","Yes","","172","172","279000.00","249000.00","230000.00","05/16/09","01/27/10","","0"
"236-0370-007-0000","4913","Secluded Oaks","95608","3","3 (3 0)","3103","0.6510","2003","","","","322","322","499000.00","500000.00","505000.00","05/08/09","07/28/10","","0"
"283-0111-002-0000","2337","Dodge","95608","4","4 (3 1)","3929","0.5700","2002","","","","57","57","1350000.00","1199000.00","1193500.00","02/17/09","10/14/10","","0"
"256-0370-010-0000","4814","Courtland","95608","3","3 (2 1)","1401","0.0390","1990","","","","427","427","170000.00","135000.00","135000.00","02/03/09","04/27/10","","0"
"260-0420-036-0000","6809","Sutter","95608","4","2 (2 0)","2624","3.2100","1950","Fixer","","","66","255","350000.00","350000.00","367000.00","01/22/09","05/13/10","","0"
"292-0303-002-0000","4806","Oak Vista","95608","4-5","3 (3 0)","3421","0.3500","1965","","","","512","901","749950.00","640000.00","583000.00","01/08/09","07/22/10","","0"
"232-0212-002-0000","5557","Wilsey","95608","4","2 (2 0)","1120","0.1600","1958","Updated/Remodeled","Yes","","321","321","199000.00","189000.00","180000.00","11/21/08","03/24/10","","0"
"245-0222-021-0000","6441","Miles","95608","3","2 (2 0)","1168","0.2410","1958","","","","394","395","190000.00","155000.00","145000.00","10/07/08","02/22/10","","0"
"260-0192-027-0000","3504","Marshall","95608","3","1 (1 0)","1053","0.3700","1958","","","","613","613","349000.00","239000.00","216000.00","05/05/08","02/05/10","","0"
"256-0063-011-0000","4917","Engle","95608","3","2 (1 1)","1053","0.2500","1957","","","","599","599","185000.00","129900.00","150000.00","04/11/08","01/29/10","","0"
"232-0520-009-0000","5918","Casa Alegre","95608","3","3 (2 1)","1380","0.0240","1973","","","","369","369","139000.00","118500.00","95000.00","03/14/08","01/26/10","","0"
"258-0130-049","3401","Hunter","95608","2","1 (1 0)","680","0.2600","1945","Fixer","","","289","289","105000.00","125000.00","90000.00","05/22/09","03/30/10","","0"
"236-0013-003","6213","Rutland","95608","4","2 (2 0)","1839","0.2000","1973","","","","162","162","289900.00","239900.00","233000.00","07/29/09","02/16/10","","0"
"247-0273-021-0000","4013","Fairwood","95608","3","2 (2 0)","1658","0.2300","1956","","","","140","140","239000.00","199000.00","199000.00","07/23/09","01/11/10","","0"
"260-0191-014-0000","3521","Marshall","95608","3","1 (1 0)","874","1.1700","1950","Fixer","","","298","348","395000.00","325000.00","275000.00","07/22/09","07/30/10","","0"
"273-0132-030-0000","2929","Petrosyan","95608","5","3 (3 0)","2220","0.2880","2005","","","","258","258","450000.00","450000.00","385000.00","07/17/09","06/18/10","","0"
"236-0345-015-0000","4633","Meyer","95608","4","2 (2 0)","1479","0.1400","1970","","","","200","200","225000.00","200000.00","200000.00","07/16/09","05/07/10","","0"
"245-0260-064-0000","6850","Lincoln","95608","4","3 (3 0)","2700","0.2530","2003","","","","111","111","469900.00","429000.00","385000.00","07/31/09","01/06/10","","0"
"272-0241-049-0000","2704","Compton Parc","95608","3","3 (2 1)","1614","0.0900","1993","","","","247","247","199950.00","189950.00","205000.00","08/03/09","04/21/10","","0"
"247-0085-006-0000","7146","Willey","95608","4","3 (3 0)","2945","0.2790","2005","","","","295","295","474900.00","430000.00","430000.00","08/03/09","08/31/10","","0"
"273-0083-007-0000","3110","Marlynn","95608","3","3 (2 1)","1916","0.5000","1949","","","","180","485","365000.00","325000.00","300000.00","08/04/09","03/19/10","","0"
"283-0190-024-0000","2006","Gunn","95608","5","3 (3 0)","2560","0.1600","1995","","","","125","125","424900.00","361800.00","353000.00","08/05/09","01/22/10","","0"
"258-0440-011-0000","3816","Henderson","95608","4","2 (2 0)","1918","0.2100","2009","","","","186","186","380000.00","390000.00","390000.00","08/05/09","03/24/10","","0"
"260-0100-049-0000","6041","Grant","95608","6","4 (4 0)","3337","0.2010","1987","","","","122","122","426900.00","274900.00","275000.00","08/14/09","01/28/10","","0"
"247-0273-012-0000","4048","Grover","95608","3","2 (2 0)","1760","","1981","","","","86","86","252000.00","239900.00","240000.00","08/18/09","01/04/10","","0"
"260-0173-006-0000","3524","California","95608","4","2 (2 0)","1897","0.2250","1955","Updated/Remodeled","Yes","","167","167","299000.00","248000.00","227500.00","08/20/09","03/29/10","","0"
"272-0090-008-0000","5123","Almond","95608","2-3","2 (2 0)","1592","0.2100","1953","Updated/Remodeled","Yes","","88","88","225000.00","214950.00","200000.00","08/23/09","02/01/10","","0"
"232-0293-005-000","5601","Hesper","95608","3","2 (2 0)","1611","0.1900","1958","","","","90","90","219900.00","198459.00","188567.00","08/28/09","01/29/10","","0"
"260-0470-031-0000","6001","ODELIA","95608","3","2 (2 0)","1561","0.0940","2009","","","","166","240","247500.00","214000.00","195000.00","08/28/09","03/31/10","","0"
"230-0870-006-0000","4244","Tyrone","95608","4","3 (2 1)","2790","0.3080","2002","","","","17","17","361350.00","361350.00","371350.00","10/19/09","01/08/10","","0"
"236-0111-020","6025","Cherrelyn","95608","3","2 (2 0)","1393","0.2370","1959","","","","100","100","230000.00","175000.00","185000.00","08/31/09","01/08/10","","0"
"271-0101-030-0000","3004","Root","95608","4-5","6 (6 0)","3915","0.8000","1996","","","","17","17","699950.00","699950.00","650000.00","09/01/09","03/18/10","","0"
"273-0111-026-0000","6124","Merry","95608","3","2 (2 0)","1116","0.2700","1962","Updated/Remodeled","Yes","","134","248","259950.00","249000.00","238000.00","09/10/09","02/22/10","","0"
"258-0400-017-0000","3425","Farid","95608","2","2 (2 0)","1081","0.1010","1981","Fixer","","","115","115","168000.00","139900.00","140000.00","09/10/09","02/17/10","","0"
"245-0303-047-0000","5905","Adana","95608","3","3 (2 1)","1955","0.1820","1980","","","","137","137","350000.00","303900.00","285500.00","09/11/09","02/22/10","","0"
"260-0154-009-0000","7200","Lynnbrook","95608","3-4","3 (3 0)","1812","0.3300","1967","Updated/Remodeled","Yes","","105","105","375000.00","375000.00","329000.00","09/14/09","01/15/10","","0"
"283-0322-009-0000","2016","Lambeth","95608","4","3 (3 0)","3295","0.2990","1963","","","","92","201","650000.00","600000.00","565000.00","09/21/09","02/03/10","","0"
